basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2019.01,12171,Sd96w,Kenyu,Miyagino,Yamanashi,1999-02-05,178,107,Sd77e,3,4
2019.01,11886,Sd97e,Fujinowaka,Fujishima,Tokyo,1994-09-27,173,130,Sd78e,3,4
2019.01,497,Sd97w,Koshinoryu,Fujishima,Fukui,1979-05-17,179,168.2,Sd69e,2,5
2019.01,12431,Sd98e,Sumidagawa,Naruto,Tokyo,1998-11-04,188,188,Jd11w,4,3
2019.01,1209,Sd98w,Kasugaryu,Nakagawa,Kanagawa,1984-06-03,168,107,Jd33w,5,2
2019.01,946,Sd99e,Kirizakura,Michinoku,Kagoshima,1983-05-26,176,82.6,Jd68w,6,1
2019.01,12235,Sd99w,Hao,Shikihide,Ehime,1997-01-12,175,94,Jd13w,4,3
2019.01,12109,Sd100e,Shinyashiki,Otake,Saitama,1998-01-31,169,72,Jd17w,4,3
2019.01,12491,Sd100w,Anzai,Naruto,Tokyo,2002-08-06,176,114,Jd19e,4,3
2019.01,9078,Jd1e,Ako,Onomatsu,Chiba,1993-02-14,180,119.3,Sd80e,3,4
2019.01,11727,Jd1w,Amatsu,Onomatsu,Osaka,1990-04-03,180,136.4,Sd80w,3,4
2019.01,7167,Jd2e,Hamadayama,Shibatayama,Tokyo,1991-12-02,171,104.2,Sd73w,2,5
2019.01,7163,Jd2w,Yoshimura,Dewanoumi,Aichi,1991-05-23,168,85.5,Jd39e,5,2
2019.01,12374,Jd3e,Asakura,Tokitsukaze,Chiba,1998-06-27,172,162,Sd84w,3,4
2019.01,12455,Jd3w,Tanahashi,Musashigawa,Miyazaki,1999-05-23,176,98,Sd85e,3,4
2019.01,12476,Jd4e,Wakanakatani,Nishiiwa,Fukuoka,2000-04-03,179,121,Jd21e,4,3
2019.01,12221,Jd4w,Asakoga,Takasago,Osaka,1993-02-20,172,137,Sd75w,2,5
2019.01,12481,Jd5e,Kotokume,Sadogatake,Yamagata,2003-01-17,182,134,Jd40w,5,2
2019.01,12454,Jd5w,Kotokonno,Sadogatake,Hokkaido,2000-01-04,179,126,Jd41e,5,2
2019.01,12310,Jd6e,Furanshisu,Shikihide,Phillipines,1998-08-04,173,103,Jd25e,4,3
2019.01,12344,Jd6w,Mochizuki,Otake,Yamanashi,1996-03-08,173,91,Sd87w,3,4
2019.01,12317,Jd7e,Kotootomo,Sadogatake,Nagano,1998-02-13,186,123,Jd42e,5,2
2019.01,12027,Jd7w,Mihamaumi,Tamanoi,Chiba,1996-11-29,170,101.3,Sd89e,3,4
2019.01,12399,Jd8e,Akashiryu,Tagonoura,Hyogo,1998-06-04,183,111,Jd27w,4,3
2019.01,12042,Jd8w,Tatsunoumi,Yamahibiki,Hyogo,1990-11-15,168,102,Jd81w,6,1
2019.01,12085,Jd9e,Fujinotani,Hakkaku,Hiroshima,1997-08-07,165,88.3,Jd28w,4,3
2019.01,6772,Jd9w,Akatsuki,Takadagawa,Kanagawa,1989-05-24,178.5,144.6,Jd44w,5,2
2019.01,12462,Jd10e,Taketsukasa,Irumagawa,Okayama,2000-01-01,176,124,Sd93e,3,4
2019.01,12230,Jd10w,Dewanosora,Dewanoumi,Nagasaki,1999-07-03,176,125,Jd30e,4,3
2019.01,12206,Jd11e,Dainichido,Michinoku,Tochigi,1993-02-19,176,85,Sd87e,2,5
2019.01,11959,Jd11w,Wakayamanaka,Nishonoseki,Fukuoka,1996-01-08,175,128.1,Sd95e,3,4
2019.01,12305,Jd12e,Reon,Shikihide,Chiba,1999-08-02,171,149,Jd33e,4,3
2019.01,6591,Jd12w,Kakutaiki,Izutsu,Kumamoto,1990-10-08,174,141.8,Sd97w,3,4
2019.01,12488,Jd13e,Kojima,Asakayama,Kagoshima,2002-09-11,180,125,Jd53e,5,2
2019.01,12340,Jd13w,Ezuka,Shikihide,Shizuoka,2000-02-02,169,70,Jd35e,4,3
2019.01,11955,Jd14e,Takataisho,Chiganoura,Tokyo,1995-06-15,174,118.5,Sd79w,1,6
2019.01,11983,Jd14w,Miyakomotoharu,Minezaki,Osaka,1989-10-19,187,82.5,Jd36e,4,3
2019.01,12016,Jd15e,Kotomanabe,Sadogatake,Aichi,1996-07-16,174,92.5,Jd55e,5,2
2019.01,11842,Jd15w,Fujihisashi,Azumazeki,Aichi,1994-10-13,176,117.7,Sd99e,3,4
2019.01,11761,Jd16e,Kotorikuzan,Sadogatake,Akita,1993-12-10,174.5,174.5,Sd90w,2,5
2019.01,2901,Jd16w,Kiryu,Miyagino,Yamanashi,1987-06-09,177.5,159.9,Jd38e,4,3
2019.01,11974,Jd17e,Sakaefuji,Sakaigawa,Tokyo,1992-08-14,182.5,196.4,Sd99w,3,4
2019.01,12321,Jd17w,Hatooka,Kise,Kanagawa,1994-02-23,184,145,Jk23w,7,0
2019.01,12151,Jd18e,Tokiryu,Tamanoi,Aichi,1998-06-25,173,116,Sd100w,3,4
2019.01,12480,Jd18w,Kotoito,Sadogatake,Akita,2002-10-01,174,108,Jd39w,4,3
2019.01,6520,Jd19e,Ishihara,Nishonoseki,Kagoshima,1989-10-26,178.5,141.6,Jd95w,6,1
2019.01,9112,Jd19w,Wakakoki,Shikoroyama,Gunma,1992-09-14,174,119.5,Sd91w,2,5
2019.01,6574,Jd20e,Amamidake,Yamahibiki,Kagoshima,1984-11-29,178,155.5,Jd43e,4,3
2019.01,12196,Jd20w,Iko,Tamanoi,Tokyo,1998-02-27,175,104,Jd59w,5,2
2019.01,12479,Jd21e,Chiyooga,Kokonoe,Osaka,2000-01-19,172,108,Sd92w,2,5
2019.01,12463,Jd21w,Mimori,Irumagawa,Shizuoka,2000-01-19,173,107,Jd62e,5,2
2019.01,12118,Jd22e,Harimanada,Onoe,Hyogo,1996-03-11,170,102,Jd62w,5,2
2019.01,12418,Jd22w,Taranami,Tatsunami,Nagasaki,2002-02-19,177,132,Jd46w,4,3
2019.01,12336,Jd23e,Kaiyuma,Asakayama,Tokyo,2000-04-26,171,148,Jd63w,5,2
