"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2006.01",1,924,"J14e","Wakakirin","0-1 (4-11)",0,"oshidashi",2847,"J14w","Masatsukasa","1-0 (6-9)",1
"2006.01",1,2847,"J14w","Masatsukasa","1-0 (6-9)",1,"oshidashi",924,"J14e","Wakakirin","0-1 (4-11)",0
"2006.01",1,5985,"J13w","Satoyama","1-0 (9-6)",1,"oshidashi",5988,"J13e","Kanbayashi","0-1 (4-11)",0
"2006.01",1,5988,"J13e","Kanbayashi","0-1 (4-11)",0,"oshidashi",5985,"J13w","Satoyama","1-0 (9-6)",1
"2006.01",1,206,"J12w","Kotokasuga","0-1 (5-10)",0,"yorikiri",6018,"J12e","Homasho","1-0 (10-5)",1
"2006.01",1,6018,"J12e","Homasho","1-0 (10-5)",1,"yorikiri",206,"J12w","Kotokasuga","0-1 (5-10)",0
"2006.01",1,222,"J11w","Sumanofuji","0-1 (6-9)",0,"oshidashi",371,"J11e","Kyokunankai","1-0 (9-6)",1
"2006.01",1,371,"J11e","Kyokunankai","1-0 (9-6)",1,"oshidashi",222,"J11w","Sumanofuji","0-1 (6-9)",0
"2006.01",1,145,"J10e","Kobo","0-1 (6-9)",0,"yorikiri",1136,"J10w","Mokonami","1-0 (11-4)",1
"2006.01",1,1136,"J10w","Mokonami","1-0 (11-4)",1,"yorikiri",145,"J10e","Kobo","0-1 (6-9)",0
"2006.01",1,795,"J9w","Tamaasuka","0-1 (0-3-12)",0,"sukuinage",1018,"J9e","Shimotori","1-0 (7-8)",1
"2006.01",1,1018,"J9e","Shimotori","1-0 (7-8)",1,"sukuinage",795,"J9w","Tamaasuka","0-1 (0-3-12)",0
"2006.01",1,92,"J8w","Harunoyama","0-1 (7-8)",0,"hatakikomi",204,"J8e","Ryuho","1-0 (11-4)",1
"2006.01",1,204,"J8e","Ryuho","1-0 (11-4)",1,"hatakikomi",92,"J8w","Harunoyama","0-1 (7-8)",0
"2006.01",1,40,"J7w","Kaiho","1-0 (7-8)",1,"sukuinage",225,"J7e","Takanotsuru","0-1 (6-9)",0
"2006.01",1,225,"J7e","Takanotsuru","0-1 (6-9)",0,"sukuinage",40,"J7w","Kaiho","1-0 (7-8)",1
"2006.01",1,17,"J6e","Tamakasuga","1-0 (12-3)",1,"hatakikomi",105,"J6w","Buyuzan","0-1 (10-5)",0
"2006.01",1,105,"J6w","Buyuzan","0-1 (10-5)",0,"hatakikomi",17,"J6e","Tamakasuga","1-0 (12-3)",1
"2006.01",1,71,"J5e","Takanowaka","0-1 (6-9)",0,"katasukashi",113,"J5w","Asofuji","1-0 (8-7)",1
"2006.01",1,113,"J5w","Asofuji","1-0 (8-7)",1,"katasukashi",71,"J5e","Takanowaka","0-1 (6-9)",0
"2006.01",1,63,"J4w","Otsukasa","1-0 (10-5)",1,"yorikiri",163,"J3w","Senshuyama","0-1 (3-12)",0
"2006.01",1,163,"J3w","Senshuyama","0-1 (3-12)",0,"yorikiri",63,"J4w","Otsukasa","1-0 (10-5)",1
"2006.01",1,38,"J3e","Toki","0-1 (4-5-6)",0,"fusen",122,"J4e","Daimanazuru","1-0 (8-7)",1
"2006.01",1,122,"J4e","Daimanazuru","1-0 (8-7)",1,"fusen",38,"J3e","Toki","0-1 (4-5-6)",0
"2006.01",1,175,"J2w","Ushiomaru","0-1 (9-6)",0,"tsukiotoshi",300,"J2e","Dairaido","1-0 (7-8)",1
"2006.01",1,300,"J2e","Dairaido","1-0 (7-8)",1,"tsukiotoshi",175,"J2w","Ushiomaru","0-1 (9-6)",0
"2006.01",1,10,"J1e","Tochinonada","1-0 (13-2)",1,"yorikiri",784,"J1w","Daishodai","0-1 (4-11)",0
"2006.01",1,784,"J1w","Daishodai","0-1 (4-11)",0,"yorikiri",10,"J1e","Tochinonada","1-0 (13-2)",1
"2006.01",1,70,"M17e","Kitazakura","1-0 (9-6)",1,"yorikiri",1243,"M16w","Katayama","0-1 (6-9)",0
"2006.01",1,1243,"M16w","Katayama","0-1 (6-9)",0,"yorikiri",70,"M17e","Kitazakura","1-0 (9-6)",1
"2006.01",1,39,"M16e","Wakanosato","1-0 (10-5)",1,"oshitaoshi",287,"M15w","Wakatoba","0-1 (4-11)",0
"2006.01",1,287,"M15w","Wakatoba","0-1 (4-11)",0,"oshitaoshi",39,"M16e","Wakanosato","1-0 (10-5)",1
"2006.01",1,50,"M14w","Tokitsuumi","1-0 (12-3)",1,"yorikiri",99,"M15e","Shunketsu","0-1 (4-11)",0
"2006.01",1,99,"M15e","Shunketsu","0-1 (4-11)",0,"yorikiri",50,"M14w","Tokitsuumi","1-0 (12-3)",1
"2006.01",1,13,"M14e","Tosanoumi","1-0 (5-10)",1,"oshidashi",5967,"M13w","Yoshikaze","0-1 (5-10)",0
"2006.01",1,5967,"M13w","Yoshikaze","0-1 (5-10)",0,"oshidashi",13,"M14e","Tosanoumi","1-0 (5-10)",1
"2006.01",1,72,"M13e","Tochisakae","1-0 (4-10-1)",1,"oshidashi",78,"M12w","Toyozakura","0-1 (7-8)",0
"2006.01",1,78,"M12w","Toyozakura","0-1 (7-8)",0,"oshidashi",72,"M13e","Tochisakae","1-0 (4-10-1)",1
"2006.01",1,35,"M11w","Kyokushuzan","1-0 (7-8)",1,"uwatenage",865,"M12e","Kasugao","0-1 (9-6)",0
"2006.01",1,865,"M12e","Kasugao","0-1 (9-6)",0,"uwatenage",35,"M11w","Kyokushuzan","1-0 (7-8)",1
"2006.01",1,135,"M11e","Hokutoriki","1-0 (12-3)",1,"hikiotoshi",1226,"M10w","Kotoshogiku","0-1 (8-7)",0
"2006.01",1,1226,"M10w","Kotoshogiku","0-1 (8-7)",0,"hikiotoshi",135,"M11e","Hokutoriki","1-0 (12-3)",1
"2006.01",1,875,"M10e","Takamisakari","0-1 (7-8)",0,"oshidashi",1227,"M9w","Toyonoshima","1-0 (7-8)",1
"2006.01",1,1227,"M9w","Toyonoshima","1-0 (7-8)",1,"oshidashi",875,"M10e","Takamisakari","0-1 (7-8)",0
