"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2016.01",1,6013,"J14w","Dewahayate","1-0 (8-7)",1,"oshitaoshi",12043,"J14e","Onosho","0-1 (8-7)",0
"2016.01",1,12043,"J14e","Onosho","0-1 (8-7)",0,"oshitaoshi",6013,"J14w","Dewahayate","1-0 (8-7)",1
"2016.01",1,6642,"J13w","Chiyonokuni","1-0 (10-5)",1,"tsukiotoshi",7143,"J13e","Amakaze","0-1 (7-8)",0
"2016.01",1,7143,"J13e","Amakaze","0-1 (7-8)",0,"tsukiotoshi",6642,"J13w","Chiyonokuni","1-0 (10-5)",1
"2016.01",1,11785,"J12w","Chiyoshoma","1-0 (8-7)",1,"uwatenage",12113,"J12e","Tsurugisho","0-1 (8-7)",0
"2016.01",1,12113,"J12e","Tsurugisho","0-1 (8-7)",0,"uwatenage",11785,"J12w","Chiyoshoma","1-0 (8-7)",1
"2016.01",1,7127,"J11e","Asabenkei","0-1 (7-8)",0,"uwatedashinage",11723,"J11w","Azumaryu","1-0 (9-6)",1
"2016.01",1,11723,"J11w","Azumaryu","1-0 (9-6)",1,"uwatedashinage",7127,"J11e","Asabenkei","0-1 (7-8)",0
"2016.01",1,6531,"J10w","Asahisho","1-0 (8-7)",1,"hatakikomi",12051,"J10e","Ishiura","0-1 (8-7)",0
"2016.01",1,12051,"J10e","Ishiura","0-1 (8-7)",0,"hatakikomi",6531,"J10w","Asahisho","1-0 (8-7)",1
"2016.01",1,8899,"J9w","Kyokutaisei","1-0 (5-10)",1,"oshidashi",11840,"J8w","Chiyoo","0-1 (6-9)",0
"2016.01",1,11840,"J8w","Chiyoo","0-1 (6-9)",0,"oshidashi",8899,"J9w","Kyokutaisei","1-0 (5-10)",1
"2016.01",1,1009,"J8e","Asasekiryu","1-0 (9-6)",1,"okuridashi",6770,"J7e","Tenkaiho","0-1 (5-10)",0
"2016.01",1,6770,"J7e","Tenkaiho","0-1 (5-10)",0,"okuridashi",1009,"J8e","Asasekiryu","1-0 (9-6)",1
"2016.01",1,5985,"J6w","Satoyama","1-0 (9-6)",1,"oshidashi",7240,"J7w","Chiyomaru","0-1 (5-6-4)",0
"2016.01",1,7240,"J7w","Chiyomaru","0-1 (5-6-4)",0,"oshidashi",5985,"J6w","Satoyama","1-0 (9-6)",1
"2016.01",1,6596,"J6e","Nishikigi","1-0 (8-7)",1,"uwatenage",8900,"J5w","Akiseyama","0-1 (8-7)",0
"2016.01",1,8900,"J5w","Akiseyama","0-1 (8-7)",0,"uwatenage",6596,"J6e","Nishikigi","1-0 (8-7)",1
"2016.01",1,2929,"J4w","Kagamio","1-0 (7-7-1)",1,"shitatenage",12144,"J5e","Daishomaru","0-1 (10-5)",0
"2016.01",1,12144,"J5e","Daishomaru","0-1 (10-5)",0,"shitatenage",2929,"J4w","Kagamio","1-0 (7-7-1)",1
"2016.01",1,1241,"J3w","Kitaharima","1-0 (5-10)",1,"oshidashi",2832,"J4e","Arawashi","0-1 (7-8)",0
"2016.01",1,2832,"J4e","Arawashi","0-1 (7-8)",0,"oshidashi",1241,"J3w","Kitaharima","1-0 (5-10)",1
"2016.01",1,11985,"J3e","Daieisho","0-1 (8-7)",0,"oshidashi",12026,"J2w","Hidenoumi","1-0 (11-4)",1
"2016.01",1,12026,"J2w","Hidenoumi","1-0 (11-4)",1,"oshidashi",11985,"J3e","Daieisho","0-1 (8-7)",0
"2016.01",1,2842,"J2e","Sadanofuji","1-0 (6-9)",1,"oshidashi",2851,"J1w","Fujiazuma","0-1 (6-9)",0
"2016.01",1,2851,"J1w","Fujiazuma","0-1 (6-9)",0,"oshidashi",2842,"J2e","Sadanofuji","1-0 (6-9)",1
"2016.01",1,6559,"J1e","Seiro","1-0 (7-8)",1,"yorikiri",11845,"M16e","Kagayaki","0-1 (4-11)",0
"2016.01",1,11845,"M16e","Kagayaki","0-1 (4-11)",0,"yorikiri",6559,"J1e","Seiro","1-0 (7-8)",1
"2016.01",1,813,"M15w","Kitataiki","1-0 (7-8)",1,"oshitaoshi",8904,"M15e","Homarefuji","0-1 (4-11)",0
"2016.01",1,8904,"M15e","Homarefuji","0-1 (4-11)",0,"oshitaoshi",813,"M15w","Kitataiki","1-0 (7-8)",1
"2016.01",1,6467,"M14w","Toyohibiki","1-0 (8-7)",1,"oshitaoshi",11971,"M14e","Jokoryu","0-1 (2-4-9)",0
"2016.01",1,11971,"M14e","Jokoryu","0-1 (2-4-9)",0,"oshitaoshi",6467,"M14w","Toyohibiki","1-0 (8-7)",1
"2016.01",1,1284,"M13e","Takekaze","0-1 (10-5)",0,"okuridashi",11724,"M13w","Takanoiwa","1-0 (9-6)",1
"2016.01",1,11724,"M13w","Takanoiwa","1-0 (9-6)",1,"okuridashi",1284,"M13e","Takekaze","0-1 (10-5)",0
"2016.01",1,11934,"M12e","Chiyotairyu","0-1 (8-7)",0,"sukuinage",12130,"M12w","Shodai","1-0 (10-5)",1
"2016.01",1,12130,"M12w","Shodai","1-0 (10-5)",1,"sukuinage",11934,"M12e","Chiyotairyu","0-1 (8-7)",0
"2016.01",1,1405,"M11w","Amuru","1-0 (7-8)",1,"okuridashi",12055,"M11e","Endo","0-1 (1-6-8)",0
"2016.01",1,12055,"M11e","Endo","0-1 (1-6-8)",0,"okuridashi",1405,"M11w","Amuru","1-0 (7-8)",1
"2016.01",1,6928,"M10e","Chiyootori","0-1 (5-7-3)",0,"oshidashi",12210,"M10w","Mitakeumi","1-0 (5-8-2)",1
"2016.01",1,12210,"M10w","Mitakeumi","1-0 (5-8-2)",1,"oshidashi",6928,"M10e","Chiyootori","0-1 (5-7-3)",0
"2016.01",1,2879,"M9e","Sadanoumi","0-1 (7-8)",0,"kotenage",6572,"M9w","Gagamaru","1-0 (7-8)",1
"2016.01",1,6572,"M9w","Gagamaru","1-0 (7-8)",1,"kotenage",2879,"M9e","Sadanoumi","0-1 (7-8)",0
"2016.01",1,6480,"M8w","Takayasu","1-0 (11-4)",1,"oshitaoshi",11784,"M8e","Myogiryu","0-1 (8-7)",0
"2016.01",1,11784,"M8e","Myogiryu","0-1 (8-7)",0,"oshitaoshi",6480,"M8w","Takayasu","1-0 (11-4)",1
"2016.01",1,1227,"M7e","Toyonoshima","1-0 (12-3)",1,"yorikiri",5944,"M7w","Tamawashi","0-1 (5-10)",0
"2016.01",1,5944,"M7w","Tamawashi","0-1 (5-10)",0,"yorikiri",1227,"M7e","Toyonoshima","1-0 (12-3)",1
"2016.01",1,6463,"M6w","Okinoumi","1-0 (10-5)",1,"yorikiri",11726,"M6e","Tokushoryu","0-1 (4-11)",0
"2016.01",1,11726,"M6e","Tokushoryu","0-1 (4-11)",0,"yorikiri",6463,"M6w","Okinoumi","1-0 (10-5)",1
"2016.01",1,4980,"M5w","Sokokurai","1-0 (8-7)",1,"yorikiri",7239,"M4e","Kyokushuho","0-1 (7-8)",0
"2016.01",1,7239,"M4e","Kyokushuho","0-1 (7-8)",0,"yorikiri",4980,"M5w","Sokokurai","1-0 (8-7)",1
"2016.01",1,6753,"M3w","Kaisei","0-1 (5-10)",0,"sukuinage",9079,"M4w","Kotoyuki","1-0 (9-6)",1
"2016.01",1,9079,"M4w","Kotoyuki","1-0 (9-6)",1,"sukuinage",6753,"M3w","Kaisei","0-1 (5-10)",0
"2016.01",1,6473,"S1e","Tochiozan","1-0 (7-8)",1,"sukuinage",12107,"M3e","Ichinojo","0-1 (2-13)",0
"2016.01",1,12107,"M3e","Ichinojo","0-1 (2-13)",0,"sukuinage",6473,"S1e","Tochiozan","1-0 (7-8)",1
"2016.01",1,6468,"O2w","Goeido","1-0 (4-11)",1,"hikiotoshi",11786,"M2w","Aoiyama","0-1 (7-8)",0
"2016.01",1,11786,"M2w","Aoiyama","0-1 (7-8)",0,"hikiotoshi",6468,"O2w","Goeido","1-0 (4-11)",1
"2016.01",1,1226,"O2e","Kotoshogiku","1-0 (14-1)",1,"tsukiotoshi",11728,"M2e","Takarafuji","0-1 (8-7)",0
"2016.01",1,11728,"M2e","Takarafuji","0-1 (8-7)",0,"tsukiotoshi",1226,"O2e","Kotoshogiku","1-0 (14-1)",1
"2016.01",1,6614,"M1w","Shohozan","0-1 (5-10)",0,"kimedashi",11927,"O1w","Terunofuji","1-0 (3-3-9)",1
"2016.01",1,11927,"O1w","Terunofuji","1-0 (3-3-9)",1,"kimedashi",6614,"M1w","Shohozan","0-1 (5-10)",0
