"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2010.01",1,96,"J14w","Jumonji","0-1 (6-9)",0,"oshidashi",11784,"J14e","Myogiryu","1-0 (1-2-12)",1
"2010.01",1,11784,"J14e","Myogiryu","1-0 (1-2-12)",1,"oshidashi",96,"J14w","Jumonji","0-1 (6-9)",0
"2010.01",1,4980,"J13w","Sokokurai","0-1 (9-6)",0,"yorikiri",6572,"J13e","Gagamaru","1-0 (12-3)",1
"2010.01",1,6572,"J13e","Gagamaru","1-0 (12-3)",1,"yorikiri",4980,"J13w","Sokokurai","0-1 (9-6)",0
"2010.01",1,371,"J12e","Kyokunankai","0-1 (9-6)",0,"yorikiri",6620,"J12w","Sakaizawa","1-0 (10-5)",1
"2010.01",1,6620,"J12w","Sakaizawa","1-0 (10-5)",1,"yorikiri",371,"J12e","Kyokunankai","0-1 (9-6)",0
"2010.01",1,40,"J11w","Kaiho","0-1 (8-7)",0,"kotenage",2831,"J11e","Hoshikaze","1-0 (5-10)",1
"2010.01",1,2831,"J11e","Hoshikaze","1-0 (5-10)",1,"kotenage",40,"J11w","Kaiho","0-1 (8-7)",0
"2010.01",1,107,"J10e","Kasuganishiki","0-1 (6-9)",0,"hatakikomi",6766,"J10w","Kiyoseumi","1-0 (9-6)",1
"2010.01",1,6766,"J10w","Kiyoseumi","1-0 (9-6)",1,"hatakikomi",107,"J10e","Kasuganishiki","0-1 (6-9)",0
"2010.01",1,929,"J8w","Kirinowaka","0-1 (6-9)",0,"yorikiri",6769,"J9w","Yamamotoyama","1-0 (7-8)",1
"2010.01",1,6769,"J9w","Yamamotoyama","1-0 (7-8)",1,"yorikiri",929,"J8w","Kirinowaka","0-1 (6-9)",0
"2010.01",1,78,"J8e","Toyozakura","0-1 (7-8)",0,"oshidashi",5984,"J9e","Shirononami","1-0 (6-9)",1
"2010.01",1,5984,"J9e","Shirononami","1-0 (6-9)",1,"oshidashi",78,"J8e","Toyozakura","0-1 (7-8)",0
"2010.01",1,795,"J7e","Tamaasuka","0-1 (5-10)",0,"hikiotoshi",898,"J7w","Chiyohakuho","1-0 (7-8)",1
"2010.01",1,898,"J7w","Chiyohakuho","1-0 (7-8)",1,"hikiotoshi",795,"J7e","Tamaasuka","0-1 (5-10)",0
"2010.01",1,113,"J6e","Asofuji","0-1 (8-7)",0,"oshidashi",2847,"J6w","Masatsukasa","1-0 (9-6)",1
"2010.01",1,2847,"J6w","Masatsukasa","1-0 (9-6)",1,"oshidashi",113,"J6e","Asofuji","0-1 (8-7)",0
"2010.01",1,13,"J5e","Tosanoumi","1-0 (8-7)",1,"oshidashi",226,"J5w","Wakatenro","0-1 (5-10)",0
"2010.01",1,226,"J5w","Wakatenro","0-1 (5-10)",0,"oshidashi",13,"J5e","Tosanoumi","1-0 (8-7)",1
"2010.01",1,865,"J4w","Kasugao","0-1 (9-6)",0,"oshidashi",900,"J4e","Wakakoyu","1-0 (8-7)",1
"2010.01",1,900,"J4e","Wakakoyu","1-0 (8-7)",1,"oshidashi",865,"J4w","Kasugao","0-1 (9-6)",0
"2010.01",1,2834,"J3e","Futeno","0-1 (4-11)",0,"oshidashi",6010,"J3w","Kimurayama","1-0 (7-8)",1
"2010.01",1,6010,"J3w","Kimurayama","1-0 (7-8)",1,"oshidashi",2834,"J3e","Futeno","0-1 (4-11)",0
"2010.01",1,206,"J2w","Kotokasuga","0-1 (5-10)",0,"yorikiri",6463,"J2e","Okinoumi","1-0 (10-5)",1
"2010.01",1,6463,"J2e","Okinoumi","1-0 (10-5)",1,"yorikiri",206,"J2w","Kotokasuga","0-1 (5-10)",0
"2010.01",1,2930,"J1e","Tokusegawa","0-1 (9-6)",0,"oshidashi",6034,"J1w","Sagatsukasa","1-0 (9-6)",1
"2010.01",1,6034,"J1w","Sagatsukasa","1-0 (9-6)",1,"oshidashi",2930,"J1e","Tokusegawa","0-1 (9-6)",0
"2010.01",1,1106,"M16e","Koryu","0-1 (3-12)",0,"hatakikomi",6467,"M16w","Toyohibiki","1-0 (12-3)",1
"2010.01",1,6467,"M16w","Toyohibiki","1-0 (12-3)",1,"hatakikomi",1106,"M16e","Koryu","0-1 (3-12)",0
"2010.01",1,10,"M15w","Tochinonada","0-1 (5-10)",0,"oshidashi",813,"M15e","Kitataiki","1-0 (9-6)",1
"2010.01",1,813,"M15e","Kitataiki","1-0 (9-6)",1,"oshidashi",10,"M15w","Tochinonada","0-1 (5-10)",0
"2010.01",1,1011,"M14w","Hakuba","1-0 (9-6)",1,"yoritaoshi",1087,"M14e","Iwakiyama","0-1 (9-6)",0
"2010.01",1,1087,"M14e","Iwakiyama","0-1 (9-6)",0,"yoritaoshi",1011,"M14w","Hakuba","1-0 (9-6)",1
"2010.01",1,152,"M13e","Tamanoshima","0-1 (7-8)",0,"uwatenage",1018,"M13w","Shimotori","1-0 (8-7)",1
"2010.01",1,1018,"M13w","Shimotori","1-0 (8-7)",1,"uwatenage",152,"M13e","Tamanoshima","0-1 (7-8)",0
"2010.01",1,6018,"M12e","Homasho","1-0 (9-6)",1,"yorikiri",7115,"M12w","Tosayutaka","0-1 (10-5)",0
"2010.01",1,7115,"M12w","Tosayutaka","0-1 (10-5)",0,"yorikiri",6018,"M12e","Homasho","1-0 (9-6)",1
"2010.01",1,875,"M11e","Takamisakari","1-0 (7-8)",1,"yoritaoshi",1136,"M11w","Mokonami","0-1 (6-9)",0
"2010.01",1,1136,"M11w","Mokonami","0-1 (6-9)",0,"yoritaoshi",875,"M11e","Takamisakari","1-0 (7-8)",1
