"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1988.01",1,51,"Ms1e","Daizen","0-1 (6-1)",0,"yorikiri",1331,"J13w","Saganobori","1-0 (8-7)",1
"1988.01",1,1331,"J13w","Saganobori","1-0 (8-7)",1,"yorikiri",51,"Ms1e","Daizen","0-1 (6-1)",0
"1988.01",1,1433,"J12w","Kitafubuki","1-0 (5-10)",1,"yorikiri",1496,"J13e","Seionada","0-1 (0-15)",0
"1988.01",1,1496,"J13e","Seionada","0-1 (0-15)",0,"yorikiri",1433,"J12w","Kitafubuki","1-0 (5-10)",1
"1988.01",1,1377,"J12e","Iwatefuji","0-1 (4-11)",0,"tsukidashi",4138,"J11w","Tochimatoi","1-0 (8-7)",1
"1988.01",1,4138,"J11w","Tochimatoi","1-0 (8-7)",1,"tsukidashi",1377,"J12e","Iwatefuji","0-1 (4-11)",0
"1988.01",1,1296,"J11e","Kasugafuji","0-1 (8-7)",0,"tsukiotoshi",4140,"J10w","Chikubayama","1-0 (7-8)",1
"1988.01",1,4140,"J10w","Chikubayama","1-0 (7-8)",1,"tsukiotoshi",1296,"J11e","Kasugafuji","0-1 (8-7)",0
"1988.01",1,1365,"J10e","Hananofuji","0-1 (7-8)",0,"shitatenage",4094,"J9w","Onishiki","1-0 (5-10)",1
"1988.01",1,4094,"J9w","Onishiki","1-0 (5-10)",1,"shitatenage",1365,"J10e","Hananofuji","0-1 (7-8)",0
"1988.01",1,1380,"J8w","Hidanohana","1-0 (9-6)",1,"tsukiotoshi",1397,"J9e","Ishinriki","0-1 (9-6)",0
"1988.01",1,1397,"J9e","Ishinriki","0-1 (9-6)",0,"tsukiotoshi",1380,"J8w","Hidanohana","1-0 (9-6)",1
"1988.01",1,1303,"J8e","Kotofuji","1-0 (8-7)",1,"yorikiri",1356,"J7w","Kinoarashi","0-1 (7-8)",0
"1988.01",1,1356,"J7w","Kinoarashi","0-1 (7-8)",0,"yorikiri",1303,"J8e","Kotofuji","1-0 (8-7)",1
"1988.01",1,1358,"J7e","Hoshiiwato","0-1 (8-7)",0,"yorikiri",1374,"J6w","Kurama","1-0 (8-7)",1
"1988.01",1,1374,"J6w","Kurama","1-0 (8-7)",1,"yorikiri",1358,"J7e","Hoshiiwato","0-1 (8-7)",0
"1988.01",1,30,"J5w","Kitakachidoki","0-1 (8-7)",0,"utchari",60,"J6e","Takanohama","1-0 (8-7)",1
"1988.01",1,60,"J6e","Takanohama","1-0 (8-7)",1,"utchari",30,"J5w","Kitakachidoki","0-1 (8-7)",0
"1988.01",1,1317,"J4w","Hananokuni","1-0 (10-5)",1,"yorikiri",4131,"J5e","Tochitsurugi","0-1 (5-10)",0
"1988.01",1,4131,"J5e","Tochitsurugi","0-1 (5-10)",0,"yorikiri",1317,"J4w","Hananokuni","1-0 (10-5)",1
"1988.01",1,9,"J4e","Akinoshima","1-0 (12-3)",1,"tsukiotoshi",1375,"J3w","Masudayama","0-1 (5-10)",0
"1988.01",1,1375,"J3w","Masudayama","0-1 (5-10)",0,"tsukiotoshi",9,"J4e","Akinoshima","1-0 (12-3)",1
"1988.01",1,28,"J2w","Mitoizumi","0-1 (10-5)",0,"kubinage",49,"J3e","Misugisato","1-0 (9-6)",1
"1988.01",1,49,"J3e","Misugisato","1-0 (9-6)",1,"kubinage",28,"J2w","Mitoizumi","0-1 (10-5)",0
"1988.01",1,1334,"J2e","Wakasegawa","1-0 (8-7)",1,"yoritaoshi",1378,"J1w","Hoo","0-1 (4-11)",0
"1988.01",1,1378,"J1w","Hoo","0-1 (4-11)",0,"yoritaoshi",1334,"J2e","Wakasegawa","1-0 (8-7)",1
"1988.01",1,1362,"J1e","Onohana","0-1 (8-7)",0,"yorikiri",1364,"M13w","Masurao","1-0 (9-6)",1
"1988.01",1,1364,"M13w","Masurao","1-0 (9-6)",1,"yorikiri",1362,"J1e","Onohana","0-1 (8-7)",0
"1988.01",1,1353,"M13e","Daijuyama","1-0 (10-5)",1,"tsukiotoshi",4141,"M12e","Nankairyu","0-1 (8-7)",0
"1988.01",1,4141,"M12e","Nankairyu","0-1 (8-7)",0,"tsukiotoshi",1353,"M13e","Daijuyama","1-0 (10-5)",1
"1988.01",1,37,"M11w","Kotoinazuma","1-0 (6-9)",1,"hatakikomi",1302,"M12w","Takamisugi","0-1 (9-6)",0
"1988.01",1,1302,"M12w","Takamisugi","0-1 (9-6)",0,"hatakikomi",37,"M11w","Kotoinazuma","1-0 (6-9)",1
"1988.01",1,1348,"M11e","Jingaku","1-0 (8-7)",1,"yorikiri",1369,"M10w","Toryu","0-1 (7-8)",0
"1988.01",1,1369,"M10w","Toryu","0-1 (7-8)",0,"yorikiri",1348,"M11e","Jingaku","1-0 (8-7)",1
"1988.01",1,1301,"M9w","Kirishima","0-1 (7-8)",0,"oshidashi",1347,"M10e","Itai","1-0 (8-7)",1
"1988.01",1,1347,"M10e","Itai","1-0 (8-7)",1,"oshidashi",1301,"M9w","Kirishima","0-1 (7-8)",0
"1988.01",1,1345,"M8w","Tamaryu","0-1 (5-10)",0,"yorikiri",4126,"M9e","Sadanoumi","1-0 (7-8)",1
"1988.01",1,4126,"M9e","Sadanoumi","1-0 (7-8)",1,"yorikiri",1345,"M8w","Tamaryu","0-1 (5-10)",0
