"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1991.01",1,82,"J13w","Tochitenko","1-0 (7-8)",1,"yorikiri",1356,"J13e","Kinoarashi","0-1 (0-8-7)",0
"1991.01",1,1356,"J13e","Kinoarashi","0-1 (0-8-7)",0,"yorikiri",82,"J13w","Tochitenko","1-0 (7-8)",1
"1991.01",1,45,"J12w","Daishoho","1-0 (11-4)",1,"hatakikomi",1323,"J12e","Kumao","0-1 (8-7)",0
"1991.01",1,1323,"J12e","Kumao","0-1 (8-7)",0,"hatakikomi",45,"J12w","Daishoho","1-0 (11-4)",1
"1991.01",1,51,"J11e","Daizen","0-1 (9-6)",0,"oshidashi",1329,"J11w","Daigaku","1-0 (8-7)",1
"1991.01",1,1329,"J11w","Daigaku","1-0 (8-7)",1,"oshidashi",51,"J11e","Daizen","0-1 (9-6)",0
"1991.01",1,160,"J10e","Tatsuhikari","1-0 (6-9)",1,"yorikiri",1357,"J10w","Yamanishiki","0-1 (2-13)",0
"1991.01",1,1357,"J10w","Yamanishiki","0-1 (2-13)",0,"yorikiri",160,"J10e","Tatsuhikari","1-0 (6-9)",1
"1991.01",1,1330,"J9e","Ryogoku","1-0 (12-3)",1,"yorikiri",1358,"J9w","Hoshiiwato","0-1 (2-13)",0
"1991.01",1,1358,"J9w","Hoshiiwato","0-1 (2-13)",0,"yorikiri",1330,"J9e","Ryogoku","1-0 (12-3)",1
"1991.01",1,1349,"J8e","Kotohakusan","1-0 (7-8)",1,"uwatenage",1351,"J8w","Ryugahama","0-1 (7-8)",0
"1991.01",1,1351,"J8w","Ryugahama","0-1 (7-8)",0,"uwatenage",1349,"J8e","Kotohakusan","1-0 (7-8)",1
"1991.01",1,1285,"J7e","Asahisato","1-0 (9-6)",1,"yorikiri",1355,"J7w","Goken","0-1 (8-7)",0
"1991.01",1,1355,"J7w","Goken","0-1 (8-7)",0,"yorikiri",1285,"J7e","Asahisato","1-0 (9-6)",1
"1991.01",1,1327,"J6w","Yoshinobori","0-1 (8-7)",0,"tsukiotoshi",1331,"J6e","Saganobori","1-0 (7-8)",1
"1991.01",1,1331,"J6e","Saganobori","1-0 (7-8)",1,"tsukiotoshi",1327,"J6w","Yoshinobori","0-1 (8-7)",0
"1991.01",1,1305,"J5e","Kyokugozan","1-0 (6-9)",1,"yoritaoshi",1309,"J5w","Tamakairiki","0-1 (7-8)",0
"1991.01",1,1309,"J5w","Tamakairiki","0-1 (7-8)",0,"yoritaoshi",1305,"J5e","Kyokugozan","1-0 (6-9)",1
"1991.01",1,1294,"J4w","Naminohana","1-0 (5-10)",1,"sotogake",1345,"J4e","Tamaryu","0-1 (8-7)",0
"1991.01",1,1345,"J4e","Tamaryu","0-1 (8-7)",0,"sotogake",1294,"J4w","Naminohana","1-0 (5-10)",1
"1991.01",1,60,"J3w","Toyonoumi","0-1 (10-5)",0,"yorikiri",1337,"J3e","Tochitsukasa","1-0 (8-7)",1
"1991.01",1,1337,"J3e","Tochitsukasa","1-0 (8-7)",1,"yorikiri",60,"J3w","Toyonoumi","0-1 (10-5)",0
"1991.01",1,48,"J2w","Oginohana","1-0 (12-3)",1,"yorikiri",1333,"J2e","Sasshunada","0-1 (6-9)",0
"1991.01",1,1333,"J2e","Sasshunada","0-1 (6-9)",0,"yorikiri",48,"J2w","Oginohana","1-0 (12-3)",1
"1991.01",1,14,"J1e","Kotonowaka","1-0 (10-5)",1,"uwatenage",1326,"J1w","Tsunenoyama","0-1 (8-7)",0
"1991.01",1,1326,"J1w","Tsunenoyama","0-1 (8-7)",0,"uwatenage",14,"J1e","Kotonowaka","1-0 (10-5)",1
"1991.01",1,157,"M15w","Tomoefuji","0-1 (10-5)",0,"yorikiri",1324,"M15e","Daikiko","1-0 (5-10)",1
"1991.01",1,1324,"M15e","Daikiko","1-0 (5-10)",1,"yorikiri",157,"M15w","Tomoefuji","0-1 (10-5)",0
"1991.01",1,30,"M14w","Kitakachidoki","1-0 (8-7)",1,"yorikiri",1352,"M14e","Tagaryu","0-1 (5-10)",0
"1991.01",1,1352,"M14e","Tagaryu","0-1 (5-10)",0,"yorikiri",30,"M14w","Kitakachidoki","1-0 (8-7)",1
"1991.01",1,1311,"M13w","Kototsubaki","1-0 (9-6)",1,"shitatenage",1314,"M13e","Owakamatsu","0-1 (4-11)",0
"1991.01",1,1314,"M13e","Owakamatsu","0-1 (4-11)",0,"shitatenage",1311,"M13w","Kototsubaki","1-0 (9-6)",1
"1991.01",1,1315,"M12e","Enazakura","1-0 (10-5)",1,"hatakikomi",1347,"M12w","Itai","0-1 (8-7)",0
