"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1989.01",1,1285,"J13w","Asahisato","1-0 (9-6)",1,"uwatedashinage",1370,"J13e","Morinosato","0-1 (6-9)",0
"1989.01",1,1370,"J13e","Morinosato","0-1 (6-9)",0,"uwatedashinage",1285,"J13w","Asahisato","1-0 (9-6)",1
"1989.01",1,1362,"J11w","Onohana","1-0 (9-6)",1,"tsuridashi",1377,"J12w","Iwatefuji","0-1 (10-5)",0
"1989.01",1,1377,"J12w","Iwatefuji","0-1 (10-5)",0,"tsuridashi",1362,"J11w","Onohana","1-0 (9-6)",1
"1989.01",1,1297,"J11e","Dairyu","0-1 (8-7)",0,"katasukashi",1369,"J12e","Toryu","1-0 (8-7)",1
"1989.01",1,1369,"J12e","Toryu","1-0 (8-7)",1,"katasukashi",1297,"J11e","Dairyu","0-1 (8-7)",0
"1989.01",1,1381,"J8w","Dewanoshima","0-1 (1-14)",0,"shitatenage",1397,"J8e","Ishinriki","1-0 (8-7)",1
"1989.01",1,1397,"J8e","Ishinriki","1-0 (8-7)",1,"shitatenage",1381,"J8w","Dewanoshima","0-1 (1-14)",0
"1989.01",1,1319,"J7e","Tachihikari","0-1 (6-9)",0,"yoritaoshi",1356,"J7w","Kinoarashi","1-0 (9-6)",1
"1989.01",1,1356,"J7w","Kinoarashi","1-0 (9-6)",1,"yoritaoshi",1319,"J7e","Tachihikari","0-1 (6-9)",0
"1989.01",1,1305,"J6e","Kyokugozan","1-0 (8-7)",1,"oshidashi",1365,"J6w","Hananofuji","0-1 (7-8)",0
"1989.01",1,1365,"J6w","Hananofuji","0-1 (7-8)",0,"oshidashi",1305,"J6e","Kyokugozan","1-0 (8-7)",1
"1989.01",1,1331,"J5e","Saganobori","0-1 (8-7)",0,"okuridashi",1337,"J5w","Tochitsukasa","1-0 (11-4)",1
"1989.01",1,1337,"J5w","Tochitsukasa","1-0 (11-4)",1,"okuridashi",1331,"J5e","Saganobori","0-1 (8-7)",0
