"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1997.01",1,32,"J13e","Akinoshu","1-0 (8-7)",1,"hatakikomi",67,"J13w","Tochinofuji","0-1 (8-7)",0
"1997.01",1,67,"J13w","Tochinofuji","0-1 (8-7)",0,"hatakikomi",32,"J13e","Akinoshu","1-0 (8-7)",1
"1997.01",1,47,"J12e","Chiyotenzan","0-1 (8-7)",0,"yorikiri",54,"J12w","Ohinode","1-0 (8-7)",1
"1997.01",1,54,"J12w","Ohinode","1-0 (8-7)",1,"yorikiri",47,"J12e","Chiyotenzan","0-1 (8-7)",0
"1997.01",1,41,"J11w","Kyokutenho","0-1 (7-8)",0,"yorikiri",60,"J11e","Toyonoumi","1-0 (8-7)",1
"1997.01",1,60,"J11e","Toyonoumi","1-0 (8-7)",1,"yorikiri",41,"J11w","Kyokutenho","0-1 (7-8)",0
"1997.01",1,1291,"J10w","Sunahama","1-0 (8-7)",1,"oshidashi",1293,"J10e","Chiyonowaka","0-1 (3-12)",0
"1997.01",1,1293,"J10e","Chiyonowaka","0-1 (3-12)",0,"oshidashi",1291,"J10w","Sunahama","1-0 (8-7)",1
"1997.01",1,44,"J9w","Kushimaumi","0-1 (11-4)",0,"oshidashi",55,"J9e","Zenshinyama","1-0 (9-6)",1
"1997.01",1,55,"J9e","Zenshinyama","1-0 (9-6)",1,"oshidashi",44,"J9w","Kushimaumi","0-1 (11-4)",0
"1997.01",1,52,"J8e","Tomonohana","1-0 (8-7)",1,"yorikiri",63,"J8w","Otsukasa","0-1 (8-7)",0
"1997.01",1,63,"J8w","Otsukasa","0-1 (8-7)",0,"yorikiri",52,"J8e","Tomonohana","1-0 (8-7)",1
"1997.01",1,46,"J7w","Dewaarashi","1-0 (7-8)",1,"tsukiotoshi",124,"J7e","Saigo","0-1 (5-10)",0
"1997.01",1,124,"J7e","Saigo","0-1 (5-10)",0,"tsukiotoshi",46,"J7w","Dewaarashi","1-0 (7-8)",1
"1997.01",1,27,"J6e","Wakanojo","1-0 (8-7)",1,"yorikiri",48,"J6w","Oginohana","0-1 (10-5)",0
"1997.01",1,48,"J6w","Oginohana","0-1 (10-5)",0,"yorikiri",27,"J6e","Wakanojo","1-0 (8-7)",1
"1997.01",1,1290,"J5e","Wakashoyo","1-0 (10-5)",1,"yorikiri",1292,"J5w","Kotogaume","0-1 (5-10)",0
"1997.01",1,1292,"J5w","Kotogaume","0-1 (5-10)",0,"yorikiri",1290,"J5e","Wakashoyo","1-0 (10-5)",1
"1997.01",1,10,"J4w","Tochinonada","1-0 (10-5)",1,"hatakikomi",1294,"J4e","Naminohana","0-1 (3-12)",0
"1997.01",1,1294,"J4e","Naminohana","0-1 (3-12)",0,"hatakikomi",10,"J4w","Tochinonada","1-0 (10-5)",1
"1997.01",1,42,"J3w","Mainoumi","0-1 (8-7)",0,"yorikiri",53,"J3e","Tokitsunada","1-0 (9-6)",1
"1997.01",1,53,"J3e","Tokitsunada","1-0 (9-6)",1,"yorikiri",42,"J3w","Mainoumi","0-1 (8-7)",0
"1997.01",1,31,"J2e","Dejima","1-0 (12-3)",1,"oshidashi",51,"J2w","Daizen","0-1 (5-10)",0
"1997.01",1,51,"J2w","Daizen","0-1 (5-10)",0,"oshidashi",31,"J2e","Dejima","1-0 (12-3)",1
"1997.01",1,8,"J1e","Chiyotaikai","0-1 (2-13)",0,"uwatenage",22,"J1w","Gojoro","1-0 (8-7)",1
"1997.01",1,22,"J1w","Gojoro","1-0 (8-7)",1,"uwatenage",8,"J1e","Chiyotaikai","0-1 (2-13)",0
"1997.01",1,49,"M15w","Misugisato","1-0 (8-7)",1,"uwatenage",1288,"M16e","Kotobeppu","0-1 (5-10)",0
"1997.01",1,1288,"M16e","Kotobeppu","0-1 (5-10)",0,"uwatenage",49,"M15w","Misugisato","1-0 (8-7)",1
"1997.01",1,20,"M15e","Shikishima","1-0 (9-6)",1,"yorikiri",57,"M14w","Yamato","0-1 (8-7)",0
"1997.01",1,57,"M14w","Yamato","0-1 (8-7)",0,"yorikiri",20,"M15e","Shikishima","1-0 (9-6)",1
"1997.01",1,45,"M14e","Daishoho","0-1 (2-2-11)",0,"uwatenage",1289,"M13w","Rikio","1-0 (8-7)",1
"1997.01",1,1289,"M13w","Rikio","1-0 (8-7)",1,"uwatenage",45,"M14e","Daishoho","0-1 (2-2-11)",0
