"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1999.01",1,86,"J13w","Futatsukuba","0-1 (2-13)",0,"yorikiri",129,"J13e","Hayateumi","1-0 (6-2-7)",1
"1999.01",1,129,"J13e","Hayateumi","1-0 (6-2-7)",1,"yorikiri",86,"J13w","Futatsukuba","0-1 (2-13)",0
"1999.01",1,97,"J12w","Tochinohana","0-1 (8-7)",0,"shitatedashinage",145,"J12e","Kobo","1-0 (9-6)",1
"1999.01",1,145,"J12e","Kobo","1-0 (9-6)",1,"shitatedashinage",97,"J12w","Tochinohana","0-1 (8-7)",0
"1999.01",1,59,"J11e","Susanoumi","0-1 (8-7)",0,"okuridashi",63,"J11w","Otsukasa","1-0 (8-7)",1
"1999.01",1,63,"J11w","Otsukasa","1-0 (8-7)",1,"okuridashi",59,"J11e","Susanoumi","0-1 (8-7)",0
"1999.01",1,42,"J10e","Mainoumi","0-1 (9-6)",0,"oshitaoshi",45,"J10w","Daishoho","1-0 (9-6)",1
"1999.01",1,45,"J10w","Daishoho","1-0 (9-6)",1,"oshitaoshi",42,"J10e","Mainoumi","0-1 (9-6)",0
"1999.01",1,64,"J9w","Yotsukasa","0-1 (9-6)",0,"hikiotoshi",76,"J9e","Hoshitango","1-0 (7-8)",1
"1999.01",1,76,"J9e","Hoshitango","1-0 (7-8)",1,"hikiotoshi",64,"J9w","Yotsukasa","0-1 (9-6)",0
"1999.01",1,30,"J8e","Kitakachidoki","1-0 (8-7)",1,"hatakikomi",51,"J8w","Daizen","0-1 (8-7)",0
"1999.01",1,51,"J8w","Daizen","0-1 (8-7)",0,"hatakikomi",30,"J8e","Kitakachidoki","1-0 (8-7)",1
"1999.01",1,37,"J7e","Kotoinazuma","1-0 (5-10)",1,"uwatenage",66,"J7w","Wakahayato","0-1 (7-8)",0
"1999.01",1,66,"J7w","Wakahayato","0-1 (7-8)",0,"uwatenage",37,"J7e","Kotoinazuma","1-0 (5-10)",1
"1999.01",1,41,"J6e","Kyokutenho","0-1 (9-6)",0,"kimedashi",60,"J6w","Toyonoumi","1-0 (7-8)",1
"1999.01",1,60,"J6w","Toyonoumi","1-0 (7-8)",1,"kimedashi",41,"J6e","Kyokutenho","0-1 (9-6)",0
"1999.01",1,32,"J5e","Akinoshu","0-1 (7-8)",0,"yorikiri",62,"J5w","Daishi","1-0 (6-9)",1
"1999.01",1,62,"J5w","Daishi","1-0 (6-9)",1,"yorikiri",32,"J5e","Akinoshu","0-1 (7-8)",0
"1999.01",1,53,"J4w","Tokitsunada","0-1 (6-9)",0,"hatakikomi",58,"J4e","Oikari","1-0 (7-8)",1
"1999.01",1,58,"J4e","Oikari","1-0 (7-8)",1,"hatakikomi",53,"J4w","Tokitsunada","0-1 (6-9)",0
"1999.01",1,55,"J3e","Zenshinyama","0-1 (4-11)",0,"oshidashi",87,"J3w","Wakanoyama","1-0 (7-8)",1
"1999.01",1,87,"J3w","Wakanoyama","1-0 (7-8)",1,"oshidashi",55,"J3e","Zenshinyama","0-1 (4-11)",0
