"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2017.01",1,1058,"J14e","Wakanoshima","1-0 (4-9-2)",1,"yorikiri",9077,"J14w","Kizenryu","0-1 (5-10)",0
"2017.01",1,9077,"J14w","Kizenryu","0-1 (5-10)",0,"yorikiri",1058,"J14e","Wakanoshima","1-0 (4-9-2)",1
"2017.01",1,11868,"J13e","Terutsuyoshi","0-1 (7-8)",0,"sukuinage",12273,"J13w","Daiamami","1-0 (10-5)",1
"2017.01",1,12273,"J13w","Daiamami","1-0 (10-5)",1,"sukuinage",11868,"J13e","Terutsuyoshi","0-1 (7-8)",0
"2017.01",1,6531,"J12e","Asahisho","0-1 (7-8)",0,"yorikiri",11947,"J12w","Rikishin","1-0 (7-8)",1
"2017.01",1,11947,"J12w","Rikishin","1-0 (7-8)",1,"yorikiri",6531,"J12e","Asahisho","0-1 (7-8)",0
"2017.01",1,5985,"J11w","Satoyama","0-1 (8-7)",0,"yorikiri",8904,"J11e","Homarefuji","1-0 (10-5)",1
"2017.01",1,8904,"J11e","Homarefuji","1-0 (10-5)",1,"yorikiri",5985,"J11w","Satoyama","0-1 (8-7)",0
"2017.01",1,1405,"J10e","Amuru","1-0 (5-10)",1,"hatakikomi",6594,"J10w","Ryuden","0-1 (9-6)",0
"2017.01",1,6594,"J10w","Ryuden","0-1 (9-6)",0,"hatakikomi",1405,"J10e","Amuru","1-0 (5-10)",1
"2017.01",1,7143,"J9w","Amakaze","1-0 (9-6)",1,"yorikiri",11989,"J9e","Yamaguchi","0-1 (9-6)",0
"2017.01",1,11989,"J9e","Yamaguchi","0-1 (9-6)",0,"yorikiri",7143,"J9w","Amakaze","1-0 (9-6)",1
"2017.01",1,11726,"J8e","Tokushoryu","1-0 (11-4)",1,"hatakikomi",12113,"J8w","Tsurugisho","0-1 (8-7)",0
"2017.01",1,12113,"J8w","Tsurugisho","0-1 (8-7)",0,"hatakikomi",11726,"J8e","Tokushoryu","1-0 (11-4)",1
"2017.01",1,89,"J7w","Aminishiki","0-1 (5-10)",0,"tsukiotoshi",8899,"J7e","Kyokutaisei","1-0 (8-7)",1
"2017.01",1,8899,"J7e","Kyokutaisei","1-0 (8-7)",1,"tsukiotoshi",89,"J7w","Aminishiki","0-1 (5-10)",0
"2017.01",1,7153,"J6w","Kotoeko","1-0 (8-7)",1,"amiuchi",12292,"J6e","Oyanagi","0-1 (8-7)",0
"2017.01",1,12292,"J6e","Oyanagi","0-1 (8-7)",0,"amiuchi",7153,"J6w","Kotoeko","1-0 (8-7)",1
"2017.01",1,813,"J5e","Kitataiki","0-1 (4-11)",0,"oshidashi",12043,"J5w","Onosho","1-0 (9-6)",1
"2017.01",1,12043,"J5w","Onosho","1-0 (9-6)",1,"oshidashi",813,"J5e","Kitataiki","0-1 (4-11)",0
"2017.01",1,6559,"J4e","Seiro","0-1 (4-11)",0,"yorikiri",11723,"J4w","Azumaryu","1-0 (5-10)",1
"2017.01",1,11723,"J4w","Azumaryu","1-0 (5-10)",1,"yorikiri",6559,"J4e","Seiro","0-1 (4-11)",0
"2017.01",1,7240,"J3w","Chiyomaru","0-1 (7-8)",0,"oshidashi",12226,"J3e","Ura","1-0 (11-4)",1
"2017.01",1,12226,"J3e","Ura","1-0 (11-4)",1,"oshidashi",7240,"J3w","Chiyomaru","0-1 (7-8)",0
"2017.01",1,7239,"J2e","Kyokushuho","1-0 (8-7)",1,"hatakikomi",11985,"J2w","Daieisho","0-1 (12-3)",0
"2017.01",1,11985,"J2w","Daieisho","0-1 (12-3)",0,"hatakikomi",7239,"J2e","Kyokushuho","1-0 (8-7)",1
"2017.01",1,6467,"J1e","Toyohibiki","1-0 (6-9)",1,"yorikiri",12026,"J1w","Hidenoumi","0-1 (7-8)",0
