"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2011.01",1,6654,"J14w","Masunoyama","1-0 (8-5-2)",1,"yoritaoshi",6770,"Ms1w","Minami","0-1 (3-4)",0
"2011.01",1,6770,"Ms1w","Minami","0-1 (3-4)",0,"yoritaoshi",6654,"J14w","Masunoyama","1-0 (8-5-2)",1
"2011.01",1,1134,"J14e","Tsurugidake","1-0 (7-8)",1,"hatakikomi",2851,"J13w","Fujiazuma","0-1 (8-7)",0
"2011.01",1,2851,"J13w","Fujiazuma","0-1 (8-7)",0,"hatakikomi",1134,"J14e","Tsurugidake","1-0 (7-8)",1
"2011.01",1,898,"J13e","Chiyohakuho","1-0 (7-8)",1,"hikiotoshi",1266,"J12w","Nionoumi","0-1 (5-10)",0
"2011.01",1,1266,"J12w","Nionoumi","0-1 (5-10)",0,"hikiotoshi",898,"J13e","Chiyohakuho","1-0 (7-8)",1
"2011.01",1,296,"J11w","Yoshiazuma","1-0 (6-9)",1,"tsukiotoshi",6766,"J11e","Kiyoseumi","0-1 (7-8)",0
"2011.01",1,6766,"J11e","Kiyoseumi","0-1 (7-8)",0,"tsukiotoshi",296,"J11w","Yoshiazuma","1-0 (6-9)",1
"2011.01",1,1032,"J10e","Hochiyama","0-1 (7-8)",0,"yorikiri",8900,"J10w","Akiseyama","1-0 (8-7)",1
"2011.01",1,8900,"J10w","Akiseyama","1-0 (8-7)",1,"yorikiri",1032,"J10e","Hochiyama","0-1 (7-8)",0
"2011.01",1,1204,"J9w","Kakizoe","0-1 (4-11)",0,"oshidashi",2831,"J9e","Hoshikaze","1-0 (9-6)",1
"2011.01",1,2831,"J9e","Hoshikaze","1-0 (9-6)",1,"oshidashi",1204,"J9w","Kakizoe","0-1 (4-11)",0
"2011.01",1,2842,"J7w","Sadanofuji","0-1 (6-9)",0,"hatakikomi",6497,"J8w","Daido","1-0 (9-6)",1
"2011.01",1,6497,"J8w","Daido","1-0 (9-6)",1,"hatakikomi",2842,"J7w","Sadanofuji","0-1 (6-9)",0
"2011.01",1,113,"J8e","Asofuji","0-1 (8-7)",0,"oshidashi",2879,"J7e","Sadanoumi","1-0 (7-8)",1
"2011.01",1,2879,"J7e","Sadanoumi","1-0 (7-8)",1,"oshidashi",113,"J8e","Asofuji","0-1 (8-7)",0
"2011.01",1,152,"J6e","Tamanoshima","1-0 (9-6)",1,"oshitaoshi",226,"J6w","Wakatenro","0-1 (5-10)",0
"2011.01",1,226,"J6w","Wakatenro","0-1 (5-10)",0,"oshitaoshi",152,"J6e","Tamanoshima","1-0 (9-6)",1
"2011.01",1,2835,"J5w","Shironoryu","1-0 (4-7-4)",1,"tsukiotoshi",11728,"J5e","Takarafuji","0-1 (8-7)",0
"2011.01",1,11728,"J5e","Takarafuji","0-1 (8-7)",0,"tsukiotoshi",2835,"J5w","Shironoryu","1-0 (4-7-4)",1
"2011.01",1,864,"J4e","Bushuyama","0-1 (8-7)",0,"yorikiri",2847,"J4w","Masatsukasa","1-0 (8-7)",1
"2011.01",1,2847,"J4w","Masatsukasa","1-0 (8-7)",1,"yorikiri",864,"J4e","Bushuyama","0-1 (8-7)",0
"2011.01",1,6480,"J3e","Takayasu","1-0 (9-6)",1,"yorikiri",6620,"J3w","Sakaizawa","0-1 (7-8)",0
"2011.01",1,6620,"J3w","Sakaizawa","0-1 (7-8)",0,"yorikiri",6480,"J3e","Takayasu","1-0 (9-6)",1
"2011.01",1,865,"J2e","Kasugao","1-0 (12-3)",1,"sotogake",6767,"J2w","Tochinowaka","0-1 (12-3)",0
"2011.01",1,6767,"J2w","Tochinowaka","0-1 (12-3)",0,"sotogake",865,"J2e","Kasugao","1-0 (12-3)",1
"2011.01",1,371,"J1w","Kyokunankai","1-0 (5-10)",1,"hikiotoshi",6753,"J1e","Kaisei","0-1 (8-7)",0
"2011.01",1,6753,"J1e","Kaisei","0-1 (8-7)",0,"hikiotoshi",371,"J1w","Kyokunankai","1-0 (5-10)",1
"2011.01",1,10,"M16w","Tochinonada","1-0 (9-6)",1,"hatakikomi",78,"M17e","Toyozakura","0-1 (5-10)",0
"2011.01",1,78,"M17e","Toyozakura","0-1 (5-10)",0,"hatakikomi",10,"M16w","Tochinonada","1-0 (9-6)",1
"2011.01",1,4980,"M16e","Sokokurai","1-0 (8-7)",1,"yoritaoshi",6467,"M15w","Toyohibiki","0-1 (9-6)",0
"2011.01",1,6467,"M15w","Toyohibiki","0-1 (9-6)",0,"yoritaoshi",4980,"M16e","Sokokurai","1-0 (8-7)",1
"2011.01",1,1187,"M15e","Kokkai","0-1 (3-12)",0,"oshidashi",6010,"M14w","Kimurayama","1-0 (6-9)",1
"2011.01",1,6010,"M14w","Kimurayama","1-0 (6-9)",1,"oshidashi",1187,"M15e","Kokkai","0-1 (3-12)",0
"2011.01",1,206,"M13w","Kotokasuga","0-1 (8-7)",0,"kotenage",900,"M14e","Wakakoyu","1-0 (9-6)",1
"2011.01",1,900,"M14e","Wakakoyu","1-0 (9-6)",1,"kotenage",206,"M13w","Kotokasuga","0-1 (8-7)",0
"2011.01",1,1136,"M12w","Mokonami","0-1 (8-7)",0,"yoritaoshi",6463,"M13e","Okinoumi","1-0 (11-4)",1
"2011.01",1,6463,"M13e","Okinoumi","1-0 (11-4)",1,"yoritaoshi",1136,"M12w","Mokonami","0-1 (8-7)",0
"2011.01",1,1018,"M11w","Shimotori","1-0 (2-13)",1,"yorikiri",1106,"M12e","Koryu","0-1 (8-7)",0
"2011.01",1,1106,"M12e","Koryu","0-1 (8-7)",0,"yorikiri",1018,"M11w","Shimotori","1-0 (2-13)",1
