"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2008.01",1,97,"J14w","Tochinohana","0-1 (3-9)",0,"oshitaoshi",900,"J14e","Wakakoyu","1-0 (7-8)",1
"2008.01",1,900,"J14e","Wakakoyu","1-0 (7-8)",1,"oshitaoshi",97,"J14w","Tochinohana","0-1 (3-9)",0
"2008.01",1,929,"J13e","Kirinowaka","1-0 (7-8)",1,"sukuinage",5944,"J13w","Tamawashi","0-1 (10-5)",0
"2008.01",1,5944,"J13w","Tamawashi","0-1 (10-5)",0,"sukuinage",929,"J13e","Kirinowaka","1-0 (7-8)",1
"2008.01",1,5985,"J12e","Satoyama","0-1 (6-9)",0,"yorikiri",6599,"J12w","Tochinoshin","1-0 (12-3)",1
"2008.01",1,6599,"J12w","Tochinoshin","1-0 (12-3)",1,"yorikiri",5985,"J12e","Satoyama","0-1 (6-9)",0
"2008.01",1,813,"J11e","Kitataiki","1-0 (8-7)",1,"yoritaoshi",6010,"J11w","Kimurayama","0-1 (6-9)",0
"2008.01",1,6010,"J11w","Kimurayama","0-1 (6-9)",0,"yoritaoshi",813,"J11e","Kitataiki","1-0 (8-7)",1
"2008.01",1,113,"J10w","Asofuji","0-1 (5-10)",0,"oshidashi",2847,"J10e","Masatsukasa","1-0 (8-7)",1
"2008.01",1,2847,"J10e","Masatsukasa","1-0 (8-7)",1,"oshidashi",113,"J10w","Asofuji","0-1 (5-10)",0
"2008.01",1,1243,"J9e","Katayama","0-1 (5-10)",0,"oshidashi",5984,"J9w","Shirononami","1-0 (8-7)",1
"2008.01",1,5984,"J9w","Shirononami","1-0 (8-7)",1,"oshidashi",1243,"J9e","Katayama","0-1 (5-10)",0
"2008.01",1,70,"J8e","Kitazakura","0-1 (10-5)",0,"uwatenage",1011,"J8w","Hakuba","1-0 (11-4)",1
"2008.01",1,1011,"J8w","Hakuba","1-0 (11-4)",1,"uwatenage",70,"J8e","Kitazakura","0-1 (10-5)",0
"2008.01",1,99,"J7w","Shunketsu","0-1 (5-10)",0,"yorikiri",1136,"J7e","Mokonami","1-0 (9-6)",1
"2008.01",1,1136,"J7e","Mokonami","1-0 (9-6)",1,"yorikiri",99,"J7w","Shunketsu","0-1 (5-10)",0
"2008.01",1,78,"J6w","Toyozakura","1-0 (7-8)",1,"yorikiri",175,"J6e","Ushiomaru","0-1 (5-10)",0
"2008.01",1,175,"J6e","Ushiomaru","0-1 (5-10)",0,"yorikiri",78,"J6w","Toyozakura","1-0 (7-8)",1
"2008.01",1,1032,"J5e","Hochiyama","0-1 (7-8)",0,"okuridashi",1104,"J5w","Hoshihikari","1-0 (9-6)",1
"2008.01",1,1104,"J5w","Hoshihikari","1-0 (9-6)",1,"okuridashi",1032,"J5e","Hochiyama","0-1 (7-8)",0
"2008.01",1,63,"J4w","Otsukasa","1-0 (9-6)",1,"uwatenage",206,"J4e","Kotokasuga","0-1 (8-7)",0
"2008.01",1,206,"J4e","Kotokasuga","0-1 (8-7)",0,"uwatenage",63,"J4w","Otsukasa","1-0 (9-6)",1
"2008.01",1,1402,"J3w","Hakurozan","0-1 (8-7)",0,"yorikiri",6620,"J3e","Sakaizawa","1-0 (9-6)",1
"2008.01",1,6620,"J3e","Sakaizawa","1-0 (9-6)",1,"yorikiri",1402,"J3w","Hakurozan","0-1 (8-7)",0
"2008.01",1,898,"J2e","Chiyohakuho","0-1 (5-10)",0,"hikiotoshi",1031,"J2w","Ryuo","1-0 (8-7)",1
"2008.01",1,1031,"J2w","Ryuo","1-0 (8-7)",1,"hikiotoshi",898,"J2e","Chiyohakuho","0-1 (5-10)",0
"2008.01",1,107,"J1e","Kasuganishiki","0-1 (4-11)",0,"oshitaoshi",1106,"J1w","Koryu","1-0 (7-8)",1
"2008.01",1,1106,"J1w","Koryu","1-0 (7-8)",1,"oshitaoshi",107,"J1e","Kasuganishiki","0-1 (4-11)",0
"2008.01",1,40,"M16w","Kaiho","0-1 (8-7)",0,"kotenage",6766,"M16e","Ichihara","1-0 (8-7)",1
"2008.01",1,6766,"M16e","Ichihara","1-0 (8-7)",1,"kotenage",40,"M16w","Kaiho","0-1 (8-7)",0
"2008.01",1,5967,"M15w","Yoshikaze","0-1 (8-7)",0,"oshitaoshi",6473,"M15e","Tochiozan","1-0 (8-7)",1
"2008.01",1,6473,"M15e","Tochiozan","1-0 (8-7)",1,"oshitaoshi",5967,"M15w","Yoshikaze","0-1 (8-7)",0
"2008.01",1,875,"M14e","Takamisakari","0-1 (8-7)",0,"yorikiri",1018,"M14w","Shimootori","1-0 (1-1-13)",1
"2008.01",1,1018,"M14w","Shimootori","1-0 (1-1-13)",1,"yorikiri",875,"M14e","Takamisakari","0-1 (8-7)",0
"2008.01",1,152,"M13w","Tamanoshima","0-1 (3-12)",0,"tsukiotoshi",1087,"M13e","Iwakiyama","1-0 (9-6)",1
"2008.01",1,1087,"M13e","Iwakiyama","1-0 (9-6)",1,"tsukiotoshi",152,"M13w","Tamanoshima","0-1 (3-12)",0
"2008.01",1,13,"M12w","Tosanoumi","0-1 (5-10)",0,"oshidashi",2834,"M12e","Futeno","1-0 (8-7)",1
"2008.01",1,2834,"M12e","Futeno","1-0 (8-7)",1,"oshidashi",13,"M12w","Tosanoumi","0-1 (5-10)",0
"2008.01",1,865,"M11w","Kasugao","1-0 (8-7)",1,"kotenage",1204,"M11e","Kakizoe","0-1 (6-9)",0
"2008.01",1,1204,"M11e","Kakizoe","0-1 (6-9)",0,"kotenage",865,"M11w","Kasugao","1-0 (8-7)",1
"2008.01",1,41,"M10w","Kyokutenho","1-0 (10-5)",1,"yorikiri",6527,"M10e","Wakanoho","0-1 (10-5)",0
