"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1985.01",1,4118,"J13e","Amanoyama","0-1 (5-10)",0,"katasukashi",4330,"J13w","Wakatsukuba","1-0 (5-10)",1
"1985.01",1,4330,"J13w","Wakatsukuba","1-0 (5-10)",1,"katasukashi",4118,"J13e","Amanoyama","0-1 (5-10)",0
"1985.01",1,1345,"J12e","Tamaryu","1-0 (9-6)",1,"hatakikomi",4139,"J12w","Koryu","0-1 (7-8)",0
"1985.01",1,4139,"J12w","Koryu","0-1 (7-8)",0,"hatakikomi",1345,"J12e","Tamaryu","1-0 (9-6)",1
"1985.01",1,1367,"J11w","Fujihikari","1-0 (7-8)",1,"uwatenage",4117,"J11e","Misugiiso","0-1 (8-7)",0
"1985.01",1,4117,"J11e","Misugiiso","0-1 (8-7)",0,"uwatenage",1367,"J11w","Fujihikari","1-0 (7-8)",1
"1985.01",1,1417,"J10w","Ichinowatari","0-1 (8-7)",0,"yoritaoshi",4311,"J10e","Hakuryu","1-0 (8-7)",1
"1985.01",1,4311,"J10e","Hakuryu","1-0 (8-7)",1,"yoritaoshi",1417,"J10w","Ichinowatari","0-1 (8-7)",0
"1985.01",1,4133,"J8w","Takarakuni","1-0 (7-8)",1,"hikiotoshi",4140,"J9e","Chikubayama","0-1 (4-5-6)",0
"1985.01",1,4140,"J9e","Chikubayama","0-1 (4-5-6)",0,"hikiotoshi",4133,"J8w","Takarakuni","1-0 (7-8)",1
"1985.01",1,33,"J7w","Terao","1-0 (12-3)",1,"tsukitaoshi",4134,"J8e","Oyutaka","0-1 (6-9)",0
"1985.01",1,4134,"J8e","Oyutaka","0-1 (6-9)",0,"tsukitaoshi",33,"J7w","Terao","1-0 (12-3)",1
"1985.01",1,4091,"J7e","Washuyama","1-0 (6-9)",1,"oshidashi",4124,"J6w","Shishiho","0-1 (8-7)",0
"1985.01",1,4124,"J6w","Shishiho","0-1 (8-7)",0,"oshidashi",4091,"J7e","Washuyama","1-0 (6-9)",1
"1985.01",1,1333,"J5w","Sasshunada","1-0 (9-6)",1,"oshidashi",1334,"J6e","Wakasegawa","0-1 (7-8)",0
"1985.01",1,1334,"J6e","Wakasegawa","0-1 (7-8)",0,"oshidashi",1333,"J5w","Sasshunada","1-0 (9-6)",1
