"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1995.01",1,144,"J13w","Ryudo","0-1 (10-5)",0,"shitatenage",177,"J13e","Mutetsuyama","1-0 (4-11)",1
"1995.01",1,177,"J13e","Mutetsuyama","1-0 (4-11)",1,"shitatenage",144,"J13w","Ryudo","0-1 (10-5)",0
"1995.01",1,66,"J12e","Wakahayato","0-1 (4-11)",0,"yoritaoshi",157,"J12w","Tomoefuji","1-0 (11-4)",1
"1995.01",1,157,"J12w","Tomoefuji","1-0 (11-4)",1,"yoritaoshi",66,"J12e","Wakahayato","0-1 (4-11)",0
"1995.01",1,67,"J11w","Tochinofuji","1-0 (8-7)",1,"hikiotoshi",1303,"J11e","Kotofuji","0-1 (8-7)",0
"1995.01",1,1303,"J11e","Kotofuji","0-1 (8-7)",0,"hikiotoshi",67,"J11w","Tochinofuji","1-0 (8-7)",1
"1995.01",1,134,"J10e","Tsurunofuji","1-0 (8-7)",1,"oshidashi",1309,"J10w","Tamakairiki","0-1 (2-13)",0
"1995.01",1,1309,"J10w","Tamakairiki","0-1 (2-13)",0,"oshidashi",134,"J10e","Tsurunofuji","1-0 (8-7)",1
"1995.01",1,138,"J9e","Sentoryu","0-1 (6-9)",0,"tsukiotoshi",1297,"J9w","Dairyu","1-0 (8-7)",1
"1995.01",1,1297,"J9w","Dairyu","1-0 (8-7)",1,"tsukiotoshi",138,"J9e","Sentoryu","0-1 (6-9)",0
"1995.01",1,174,"J8w","Mutsuhokkai","1-0 (8-7)",1,"uwatenage",1289,"J8e","Rikio","0-1 (8-7)",0
"1995.01",1,1289,"J8e","Rikio","0-1 (8-7)",0,"uwatenage",174,"J8w","Mutsuhokkai","1-0 (8-7)",1
"1995.01",1,60,"J7e","Toyonoumi","1-0 (8-7)",1,"yorikiri",1310,"J7w","Kirinishiki","0-1 (4-11)",0
"1995.01",1,1310,"J7w","Kirinishiki","0-1 (4-11)",0,"yorikiri",60,"J7e","Toyonoumi","1-0 (8-7)",1
"1995.01",1,13,"J6e","Tosanoumi","1-0 (11-4)",1,"oshidashi",1307,"J6w","Daishoyama","0-1 (6-9)",0
"1995.01",1,1307,"J6w","Daishoyama","0-1 (6-9)",0,"oshidashi",13,"J6e","Tosanoumi","1-0 (11-4)",1
"1995.01",1,87,"J5e","Wakanoyama","0-1 (6-9)",0,"hatakikomi",91,"J5w","Hoshiandesu","1-0 (8-7)",1
"1995.01",1,91,"J5w","Hoshiandesu","1-0 (8-7)",1,"hatakikomi",87,"J5e","Wakanoyama","0-1 (6-9)",0
"1995.01",1,11,"J4e","Aogiyama","0-1 (8-7)",0,"yorikiri",20,"J4w","Shikishima","1-0 (9-6)",1
"1995.01",1,20,"J4w","Shikishima","1-0 (9-6)",1,"yorikiri",11,"J4e","Aogiyama","0-1 (8-7)",0
"1995.01",1,48,"J3e","Oginohana","0-1 (10-5)",0,"sukuinage",1306,"J3w","Hitachiryu","1-0 (7-8)",1
"1995.01",1,1306,"J3w","Hitachiryu","1-0 (7-8)",1,"sukuinage",48,"J3e","Oginohana","0-1 (10-5)",0
"1995.01",1,21,"J2e","Asahiyutaka","1-0 (11-4)",1,"yorikiri",73,"J2w","Kanechika","0-1 (6-9)",0
"1995.01",1,73,"J2w","Kanechika","0-1 (6-9)",0,"yorikiri",21,"J2e","Asahiyutaka","1-0 (11-4)",1
"1995.01",1,36,"J1e","Asanosho","1-0 (8-7)",1,"uwatenage",1305,"J1w","Kyokugozan","0-1 (6-9)",0
"1995.01",1,1305,"J1w","Kyokugozan","0-1 (6-9)",0,"uwatenage",36,"J1e","Asanosho","1-0 (8-7)",1
"1995.01",1,1292,"M16e","Kotogaume","0-1 (5-10)",0,"hatakikomi",1302,"M15w","Takamisugi","1-0 (8-7)",1
"1995.01",1,1302,"M15w","Takamisugi","1-0 (8-7)",1,"hatakikomi",1292,"M16e","Kotogaume","0-1 (5-10)",0
"1995.01",1,53,"M14w","Tokitsunada","1-0 (7-8)",1,"yorikiri",1290,"M15e","Wakashoyo","0-1 (8-7)",0
"1995.01",1,1290,"M15e","Wakashoyo","0-1 (8-7)",0,"yorikiri",53,"M14w","Tokitsunada","1-0 (7-8)",1
"1995.01",1,16,"M14e","Minatofuji","0-1 (8-7)",0,"shitatenage",26,"M13w","Higonoumi","1-0 (8-7)",1
"1995.01",1,26,"M13w","Higonoumi","1-0 (8-7)",1,"shitatenage",16,"M14e","Minatofuji","0-1 (8-7)",0
"1995.01",1,15,"M12w","Oginishiki","0-1 (9-6)",0,"yorikiri",28,"M13e","Mitoizumi","1-0 (7-8)",1
"1995.01",1,28,"M13e","Mitoizumi","1-0 (7-8)",1,"yorikiri",15,"M12w","Oginishiki","0-1 (9-6)",0
"1995.01",1,45,"M11w","Daishoho","1-0 (11-4)",1,"oshidashi",1295,"M12e","Kyokudozan","0-1 (8-7)",0
"1995.01",1,1295,"M12e","Kyokudozan","0-1 (8-7)",0,"oshidashi",45,"M11w","Daishoho","1-0 (11-4)",1
"1995.01",1,34,"M10w","Asanowaka","0-1 (9-6)",0,"okuridashi",1299,"M11e","Kiraiho","1-0 (7-8)",1
"1995.01",1,1299,"M11e","Kiraiho","1-0 (7-8)",1,"okuridashi",34,"M10w","Asanowaka","0-1 (9-6)",0
"1995.01",1,62,"M10e","Daishi","0-1 (8-7)",0,"oshidashi",1288,"M9w","Kotobeppu","1-0 (9-6)",1
"1995.01",1,1288,"M9w","Kotobeppu","1-0 (9-6)",1,"oshidashi",62,"M10e","Daishi","0-1 (8-7)",0
"1995.01",1,49,"M8e","Misugisato","1-0 (8-7)",1,"shitatenage",1296,"M9e","Kasugafuji","0-1 (7-8)",0
"1995.01",1,1296,"M9e","Kasugafuji","0-1 (7-8)",0,"shitatenage",49,"M8e","Misugisato","1-0 (8-7)",1
"1995.01",1,1287,"M8w","Konishiki","1-0 (8-7)",1,"oshitaoshi",1294,"M7e","Naminohana","0-1 (9-6)",0
"1995.01",1,1294,"M7e","Naminohana","0-1 (9-6)",0,"oshitaoshi",1287,"M8w","Konishiki","1-0 (8-7)",1
"1995.01",1,30,"M7w","Kitakachidoki","1-0 (7-8)",1,"yorikiri",1301,"M6w","Kirishima","0-1 (4-11)",0
"1995.01",1,1301,"M6w","Kirishima","0-1 (4-11)",0,"yorikiri",30,"M7w","Kitakachidoki","1-0 (7-8)",1
"1995.01",1,23,"M2e","Tochinowaka","0-1 (4-11)",0,"yorikiri",33,"M2w","Terao","1-0 (5-10)",1
"1995.01",1,33,"M2w","Terao","1-0 (5-10)",1,"yorikiri",23,"M2e","Tochinowaka","0-1 (4-11)",0
"1995.01",1,18,"M1w","Takatoriki","1-0 (7-8)",1,"hikiotoshi",25,"M3e","Hamanoshima","0-1 (4-11)",0
