"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1992.01",1,16,"J13w","Minatofuji","1-0 (5-10)",1,"oshidashi",24,"J13e","Ganyu","0-1 (3-12)",0
"1992.01",1,24,"J13e","Ganyu","0-1 (3-12)",0,"oshidashi",16,"J13w","Minatofuji","1-0 (5-10)",1
"1992.01",1,15,"J12w","Oginishiki","0-1 (7-8)",0,"yoritaoshi",1285,"J12e","Asahisato","1-0 (9-6)",1
"1992.01",1,1285,"J12e","Asahisato","1-0 (9-6)",1,"yoritaoshi",15,"J12w","Oginishiki","0-1 (7-8)",0
"1992.01",1,1294,"J11w","Naminohana","1-0 (10-5)",1,"hatakikomi",1327,"J11e","Yoshinobori","0-1 (4-11)",0
"1992.01",1,1327,"J11e","Yoshinobori","0-1 (4-11)",0,"hatakikomi",1294,"J11w","Naminohana","1-0 (10-5)",1
"1992.01",1,7,"J10w","Kaio","1-0 (7-8)",1,"uwatenage",1315,"J10e","Enazakura","0-1 (8-7)",0
"1992.01",1,1315,"J10e","Enazakura","0-1 (8-7)",0,"uwatenage",7,"J10w","Kaio","1-0 (7-8)",1
"1992.01",1,55,"J9e","Zenshinyama","1-0 (7-8)",1,"oshidashi",1331,"J9w","Saganobori","0-1 (8-7)",0
"1992.01",1,1331,"J9w","Saganobori","0-1 (8-7)",0,"oshidashi",55,"J9e","Zenshinyama","1-0 (7-8)",1
"1992.01",1,77,"J8w","Yutakafuji","1-0 (7-8)",1,"oshidashi",1306,"J8e","Hitachiryu","0-1 (6-9)",0
"1992.01",1,1306,"J8e","Hitachiryu","0-1 (6-9)",0,"oshidashi",77,"J8w","Yutakafuji","1-0 (7-8)",1
"1992.01",1,1305,"J7e","Kyokugozan","0-1 (6-9)",0,"oshidashi",1333,"J7w","Sasshunada","1-0 (7-8)",1
"1992.01",1,1333,"J7w","Sasshunada","1-0 (7-8)",1,"oshidashi",1305,"J7e","Kyokugozan","0-1 (6-9)",0
"1992.01",1,53,"J6e","Tokitsunada","0-1 (8-7)",0,"tsukiotoshi",1337,"J6w","Tochitsukasa","1-0 (8-7)",1
"1992.01",1,1337,"J6w","Tochitsukasa","1-0 (8-7)",1,"tsukiotoshi",53,"J6e","Tokitsunada","0-1 (8-7)",0
"1992.01",1,87,"J5w","Wakanoyama","0-1 (8-7)",0,"yorikiri",1309,"J5e","Tamakairiki","1-0 (9-6)",1
"1992.01",1,1309,"J5e","Tamakairiki","1-0 (9-6)",1,"yorikiri",87,"J5w","Wakanoyama","0-1 (8-7)",0
"1992.01",1,1317,"J4e","Hananokuni","1-0 (9-6)",1,"oshidashi",1329,"J4w","Daigaku","0-1 (8-7)",0
"1992.01",1,1329,"J4w","Daigaku","0-1 (8-7)",0,"oshidashi",1317,"J4e","Hananokuni","1-0 (9-6)",1
"1992.01",1,1319,"J3e","Tachihikari","1-0 (8-7)",1,"yorikiri",1335,"J2w","Takanofuji","0-1 (6-9)",0
"1992.01",1,1335,"J2w","Takanofuji","0-1 (6-9)",0,"yorikiri",1319,"J3e","Tachihikari","1-0 (8-7)",1
"1992.01",1,48,"J1w","Oginohana","1-0 (11-4)",1,"uwatenage",60,"J2e","Toyonoumi","0-1 (12-3)",0
"1992.01",1,60,"J2e","Toyonoumi","0-1 (12-3)",0,"uwatenage",48,"J1w","Oginohana","1-0 (11-4)",1
"1992.01",1,37,"M16w","Kotoinazuma","1-0 (8-7)",1,"tsukiotoshi",1286,"J1e","Kenko","0-1 (6-9)",0
"1992.01",1,1286,"J1e","Kenko","0-1 (6-9)",0,"tsukiotoshi",37,"M16w","Kotoinazuma","1-0 (8-7)",1
"1992.01",1,1290,"M15w","Wakashoyo","1-0 (6-9)",1,"sukuinage",1326,"M16e","Tsunenoyama","0-1 (8-7)",0
"1992.01",1,1326,"M16e","Tsunenoyama","0-1 (8-7)",0,"sukuinage",1290,"M15w","Wakashoyo","1-0 (6-9)",1
"1992.01",1,160,"M14w","Tatsuhikari","0-1 (7-8)",0,"yoritaoshi",1338,"M15e","Ozutsu","1-0 (4-11)",1
"1992.01",1,1338,"M15e","Ozutsu","1-0 (4-11)",1,"yoritaoshi",160,"M14w","Tatsuhikari","0-1 (7-8)",0
"1992.01",1,45,"M14e","Daishoho","0-1 (8-7)",0,"hatakikomi",1311,"M13w","Kototsubaki","1-0 (7-8)",1
"1992.01",1,1311,"M13w","Kototsubaki","1-0 (7-8)",1,"hatakikomi",45,"M14e","Daishoho","0-1 (8-7)",0
"1992.01",1,51,"M13e","Daizen","0-1 (6-9)",0,"tsukiotoshi",1302,"M12w","Takamisugi","1-0 (8-7)",1
"1992.01",1,1302,"M12w","Takamisugi","1-0 (8-7)",1,"tsukiotoshi",51,"M13e","Daizen","0-1 (6-9)",0
"1992.01",1,157,"M12e","Tomoefuji","0-1 (8-7)",0,"yorikiri",1303,"M11w","Kotofuji","1-0 (8-7)",1
"1992.01",1,1303,"M11w","Kotofuji","1-0 (8-7)",1,"yorikiri",157,"M12e","Tomoefuji","0-1 (8-7)",0
"1992.01",1,5,"M11e","Takanonami","1-0 (10-5)",1,"yorikiri",1296,"M10w","Kasugafuji","0-1 (8-7)",0
"1992.01",1,1296,"M10w","Kasugafuji","0-1 (8-7)",0,"yorikiri",5,"M11e","Takanonami","1-0 (10-5)",1
"1992.01",1,14,"M9w","Kotonowaka","0-1 (7-8)",0,"yorikiri",1299,"M10e","Kiraiho","1-0 (6-9)",1
"1992.01",1,1299,"M10e","Kiraiho","1-0 (6-9)",1,"yorikiri",14,"M9w","Kotonowaka","0-1 (7-8)",0
"1992.01",1,1292,"M8w","Kotogaume","1-0 (5-10)",1,"oshidashi",1334,"M9e","Wakasegawa","0-1 (6-9)",0
"1992.01",1,1334,"M9e","Wakasegawa","0-1 (6-9)",0,"oshidashi",1292,"M8w","Kotogaume","1-0 (5-10)",1
"1992.01",1,33,"M8e","Terao","1-0 (8-7)",1,"tsukitaoshi",42,"M7e","Mainoumi","0-1 (4-11)",0
"1992.01",1,42,"M7e","Mainoumi","0-1 (4-11)",0,"tsukitaoshi",33,"M8e","Terao","1-0 (8-7)",1
"1992.01",1,44,"M6w","Kushimaumi","1-0 (8-7)",1,"oshidashi",1332,"M7w","Sakahoko","0-1 (6-9)",0
"1992.01",1,1332,"M7w","Sakahoko","0-1 (6-9)",0,"oshidashi",44,"M6w","Kushimaumi","1-0 (8-7)",1
"1992.01",1,49,"M5w","Misugisato","0-1 (8-7)",0,"utchari",1295,"M6e","Kyokudozan","1-0 (7-8)",1
"1992.01",1,1295,"M6e","Kyokudozan","1-0 (7-8)",1,"utchari",49,"M5w","Misugisato","0-1 (8-7)",0
"1992.01",1,9,"M5e","Akinoshima","1-0 (8-7)",1,"sukuinage",1310,"M4w","Kirinishiki","0-1 (7-8)",0
"1992.01",1,1310,"M4w","Kirinishiki","0-1 (7-8)",0,"sukuinage",9,"M5e","Akinoshima","1-0 (8-7)",1
"1992.01",1,30,"M4e","Kitakachidoki","1-0 (6-9)",1,"yorikiri",1330,"M3w","Ryogoku","0-1 (5-10)",0
"1992.01",1,1330,"M3w","Ryogoku","0-1 (5-10)",0,"yorikiri",30,"M4e","Kitakachidoki","1-0 (6-9)",1
"1992.01",1,4,"M3e","Musashimaru","1-0 (9-6)",1,"oshidashi",23,"K1e","Tochinowaka","0-1 (8-7)",0
"1992.01",1,23,"K1e","Tochinowaka","0-1 (8-7)",0,"oshidashi",4,"M3e","Musashimaru","1-0 (9-6)",1
"1992.01",1,18,"S1w","Takatoriki","0-1 (7-8)",0,"hatakikomi",1307,"M2w","Daishoyama","1-0 (5-10)",1
"1992.01",1,1307,"M2w","Daishoyama","1-0 (5-10)",1,"hatakikomi",18,"S1w","Takatoriki","0-1 (7-8)",0
"1992.01",1,2,"M2e","Takahanada","1-0 (14-1)",1,"tsukiotoshi",12,"S1e","Kotonishiki","0-1 (7-8)",0
"1992.01",1,12,"S1e","Kotonishiki","0-1 (7-8)",0,"tsukiotoshi",2,"M2e","Takahanada","1-0 (14-1)",1
"1992.01",1,28,"M1e","Mitoizumi","0-1 (8-7)",0,"uwatenage",1301,"O1w","Kirishima","1-0 (8-7)",1
"1992.01",1,1301,"O1w","Kirishima","1-0 (8-7)",1,"uwatenage",28,"M1e","Mitoizumi","0-1 (8-7)",0
"1992.01",1,3,"M1w","Wakahanada","0-1 (10-5)",0,"okuritaoshi",1287,"O1e","Konishiki","1-0 (12-3)",1
"1992.01",1,1287,"O1e","Konishiki","1-0 (12-3)",1,"okuritaoshi",3,"M1w","Wakahanada","0-1 (10-5)",0
"1992.01",1,1,"K1w","Akebono","1-0 (13-2)",1,"oshidashi",1342,"Y1w","Asahifuji","0-1 (0-4-11)",0
"1992.01",1,1342,"Y1w","Asahifuji","0-1 (0-4-11)",0,"oshidashi",1,"K1w","Akebono","1-0 (13-2)",1
"1992.01",2,16,"J13w","Minatofuji","2-0 (5-10)",1,"oshitaoshi",1294,"J11w","Naminohana","1-1 (10-5)",0
