"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2000.01",1,81,"J13e","Wakakosho","0-1 (8-7)",0,"yorikiri",89,"J13w","Aminishiki","1-0 (8-7)",1
"2000.01",1,89,"J13w","Aminishiki","1-0 (8-7)",1,"yorikiri",81,"J13e","Wakakosho","0-1 (8-7)",0
"2000.01",1,70,"J12w","Kitazakura","1-0 (7-8)",1,"yorikiri",875,"J12e","Takamisakari","0-1 (7-8)",0
"2000.01",1,875,"J12e","Takamisakari","0-1 (7-8)",0,"yorikiri",70,"J12w","Kitazakura","1-0 (7-8)",1
"2000.01",1,97,"J11e","Tochinohana","1-0 (9-6)",1,"yoritaoshi",145,"J11w","Kobo","0-1 (7-8)",0
"2000.01",1,145,"J11w","Kobo","0-1 (7-8)",0,"yoritaoshi",97,"J11e","Tochinohana","1-0 (9-6)",1
"2000.01",1,24,"J10e","Ganyu","0-1 (7-8)",0,"yorikiri",152,"J10w","Tamanonada","1-0 (5-10)",1
"2000.01",1,152,"J10w","Tamanonada","1-0 (5-10)",1,"yorikiri",24,"J10e","Ganyu","0-1 (7-8)",0
"2000.01",1,52,"J9e","Tomonohana","1-0 (9-6)",1,"shitatedashinage",138,"J9w","Sentoryu","0-1 (7-8)",0
"2000.01",1,138,"J9w","Sentoryu","0-1 (7-8)",0,"shitatedashinage",52,"J9e","Tomonohana","1-0 (9-6)",1
"2000.01",1,22,"J8e","Gojoro","1-0 (7-7-1)",1,"oshidashi",96,"J8w","Jumonji","0-1 (8-7)",0
"2000.01",1,96,"J8w","Jumonji","0-1 (8-7)",0,"oshidashi",22,"J8e","Gojoro","1-0 (7-7-1)",1
"2000.01",1,65,"J7w","Dewataira","1-0 (7-8)",1,"uwatenage",876,"J7e","Kotomitsuki","0-1 (11-4)",0
"2000.01",1,876,"J7e","Kotomitsuki","0-1 (11-4)",0,"uwatenage",65,"J7w","Dewataira","1-0 (7-8)",1
"2000.01",1,32,"J6w","Akinoshu","1-0 (10-5)",1,"katasukashi",59,"J6e","Susanoumi","0-1 (8-7)",0
"2000.01",1,59,"J6e","Susanoumi","0-1 (8-7)",0,"katasukashi",32,"J6w","Akinoshu","1-0 (10-5)",1
"2000.01",1,30,"J5w","Kitakachidoki","1-0 (9-6)",1,"oshidashi",62,"J5e","Daishi","0-1 (5-10)",0
"2000.01",1,62,"J5e","Daishi","0-1 (5-10)",0,"oshidashi",30,"J5w","Kitakachidoki","1-0 (9-6)",1
"2000.01",1,28,"J4e","Mitoizumi","0-1 (8-7)",0,"yorikiri",46,"J4w","Dewaarashi","1-0 (7-8)",1
"2000.01",1,46,"J4w","Dewaarashi","1-0 (7-8)",1,"yorikiri",28,"J4e","Mitoizumi","0-1 (8-7)",0
"2000.01",1,27,"J3e","Wakanojo","0-1 (3-12)",0,"hikiotoshi",76,"J3w","Hoshitango","1-0 (5-10)",1
"2000.01",1,76,"J3w","Hoshitango","1-0 (5-10)",1,"hikiotoshi",27,"J3e","Wakanojo","0-1 (3-12)",0
"2000.01",1,15,"J2e","Oginishiki","1-0 (13-2)",1,"hikiotoshi",64,"J2w","Yotsukasa","0-1 (3-12)",0
"2000.01",1,64,"J2w","Yotsukasa","0-1 (3-12)",0,"hikiotoshi",15,"J2e","Oginishiki","1-0 (13-2)",1
"2000.01",1,51,"J1w","Daizen","0-1 (10-5)",0,"oshidashi",129,"J1e","Hayateumi","1-0 (12-3)",1
"2000.01",1,129,"J1e","Hayateumi","1-0 (12-3)",1,"oshidashi",51,"J1w","Daizen","0-1 (10-5)",0
"2000.01",1,43,"M14e","Kinkaiyama","1-0 (6-9)",1,"yorikiri",58,"M13w","Oikari","0-1 (8-7)",0
"2000.01",1,58,"M13w","Oikari","0-1 (8-7)",0,"yorikiri",43,"M14e","Kinkaiyama","1-0 (6-9)",1
"2000.01",1,41,"M13e","Kyokutenho","1-0 (11-4)",1,"yoritaoshi",54,"M12w","Ohinode","0-1 (4-11)",0
"2000.01",1,54,"M12w","Ohinode","0-1 (4-11)",0,"yoritaoshi",41,"M13e","Kyokutenho","1-0 (11-4)",1
"2000.01",1,50,"M11w","Tokitsuumi","0-1 (9-6)",0,"hatakikomi",71,"M12e","Takanowaka","1-0 (10-5)",1
"2000.01",1,71,"M12e","Takanowaka","1-0 (10-5)",1,"hatakikomi",50,"M11w","Tokitsuumi","0-1 (9-6)",0
"2000.01",1,47,"M11e","Chiyotenzan","1-0 (9-6)",1,"oshitaoshi",63,"M10w","Otsukasa","0-1 (5-10)",0
"2000.01",1,63,"M10w","Otsukasa","0-1 (5-10)",0,"oshitaoshi",47,"M11e","Chiyotenzan","1-0 (9-6)",1
"2000.01",1,16,"M9w","Minatofuji","1-0 (8-7)",1,"oshidashi",18,"M10e","Takatoriki","0-1 (6-9)",0
"2000.01",1,18,"M10e","Takatoriki","0-1 (6-9)",0,"oshidashi",16,"M9w","Minatofuji","1-0 (8-7)",1
"2000.01",1,36,"M8w","Asanosho","1-0 (7-8)",1,"oshidashi",40,"M9e","Kaiho","0-1 (6-9)",0
"2000.01",1,40,"M9e","Kaiho","0-1 (6-9)",0,"oshidashi",36,"M8w","Asanosho","1-0 (7-8)",1
"2000.01",1,17,"M8e","Tamakasuga","1-0 (8-7)",1,"hatakikomi",87,"M7w","Wakanoyama","0-1 (9-6)",0
"2000.01",1,87,"M7w","Wakanoyama","0-1 (9-6)",0,"hatakikomi",17,"M8e","Tamakasuga","1-0 (8-7)",1
"2000.01",1,11,"M6w","Aogiyama","0-1 (4-10-1)",0,"hatakikomi",33,"M7e","Terao","1-0 (5-10)",1
"2000.01",1,33,"M7e","Terao","1-0 (5-10)",1,"hatakikomi",11,"M6w","Aogiyama","0-1 (4-10-1)",0
"2000.01",1,20,"M5w","Shikishima","1-0 (7-8)",1,"yorikiri",35,"M6e","Kyokushuzan","0-1 (8-7)",0
"2000.01",1,35,"M6e","Kyokushuzan","0-1 (8-7)",0,"yorikiri",20,"M5w","Shikishima","1-0 (7-8)",1
"2000.01",1,9,"M4w","Akinoshima","1-0 (7-8)",1,"kubinage",25,"M5e","Hamanoshima","0-1 (5-10)",0
"2000.01",1,25,"M5e","Hamanoshima","0-1 (5-10)",0,"kubinage",9,"M4w","Akinoshima","1-0 (7-8)",1
"2000.01",1,10,"M4e","Tochinonada","1-0 (6-9)",1,"hikiotoshi",26,"M3w","Higonoumi","0-1 (2-5-8)",0
"2000.01",1,26,"M3w","Higonoumi","0-1 (2-5-8)",0,"hikiotoshi",10,"M4e","Tochinonada","1-0 (6-9)",1
"2000.01",1,5,"S2w","Takanonami","1-0 (10-5)",1,"oshidashi",12,"M3e","Kotonishiki","0-1 (3-12)",0
"2000.01",1,12,"M3e","Kotonishiki","0-1 (3-12)",0,"oshidashi",5,"S2w","Takanonami","1-0 (10-5)",1
"2000.01",1,6,"S2e","Musoyama","1-0 (13-2)",1,"yorikiri",34,"M2w","Asanowaka","0-1 (3-12)",0
