"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"1998.01",1,43,"J13w","Kinkaiyama","1-0 (12-3)",1,"yoritaoshi",54,"Ms1e","Ohinode","0-1 (4-3)",0
"1998.01",1,54,"Ms1e","Ohinode","0-1 (4-3)",0,"yoritaoshi",43,"J13w","Kinkaiyama","1-0 (12-3)",1
"1998.01",1,61,"J12w","Hokutohikari","0-1 (8-7)",0,"tsukiotoshi",96,"J13e","Kaigatake","1-0 (5-10)",1
"1998.01",1,96,"J13e","Kaigatake","1-0 (5-10)",1,"tsukiotoshi",61,"J12w","Hokutohikari","0-1 (8-7)",0
"1998.01",1,66,"J12e","Wakahayato","1-0 (9-6)",1,"uwatenage",75,"J11w","Daihisho","0-1 (8-7)",0
"1998.01",1,75,"J11w","Daihisho","0-1 (8-7)",0,"uwatenage",66,"J12e","Wakahayato","1-0 (9-6)",1
"1998.01",1,63,"J11e","Otsukasa","1-0 (6-9)",1,"hikiotoshi",73,"J10w","Kanechika","0-1 (7-8)",0
"1998.01",1,73,"J10w","Kanechika","0-1 (7-8)",0,"hikiotoshi",63,"J11e","Otsukasa","1-0 (6-9)",1
"1998.01",1,38,"J9w","Toki","1-0 (10-5)",1,"oshitaoshi",83,"J10e","Arashi","0-1 (3-12)",0
"1998.01",1,83,"J10e","Arashi","0-1 (3-12)",0,"oshitaoshi",38,"J9w","Toki","1-0 (10-5)",1
"1998.01",1,45,"J9e","Daishoho","1-0 (8-7)",1,"yorikiri",48,"J8w","Oginohana","0-1 (9-6)",0
"1998.01",1,48,"J8w","Oginohana","0-1 (9-6)",0,"yorikiri",45,"J9e","Daishoho","1-0 (8-7)",1
"1998.01",1,46,"J7w","Dewaarashi","1-0 (8-7)",1,"uwatenage",47,"J8e","Chiyotenzan","0-1 (8-7)",0
"1998.01",1,47,"J8e","Chiyotenzan","0-1 (8-7)",0,"uwatenage",46,"J7w","Dewaarashi","1-0 (8-7)",1
"1998.01",1,44,"J6w","Kushimaumi","1-0 (7-8)",1,"oshitaoshi",52,"J7e","Tomonohana","0-1 (6-9)",0
"1998.01",1,52,"J7e","Tomonohana","0-1 (6-9)",0,"oshitaoshi",44,"J6w","Kushimaumi","1-0 (7-8)",1
"1998.01",1,39,"J5w","Wakanosato","1-0 (11-4)",1,"oshidashi",55,"J6e","Zenshinyama","0-1 (8-7)",0
"1998.01",1,55,"J6e","Zenshinyama","0-1 (8-7)",0,"oshidashi",39,"J5w","Wakanosato","1-0 (11-4)",1
"1998.01",1,51,"J5e","Daizen","0-1 (8-7)",0,"oshidashi",1285,"J4w","Asahisato","1-0 (5-10)",1
"1998.01",1,1285,"J4w","Asahisato","1-0 (5-10)",1,"oshidashi",51,"J5e","Daizen","0-1 (8-7)",0
"1998.01",1,60,"J3w","Toyonoumi","0-1 (5-10)",0,"yorikiri",62,"J4e","Daishi","1-0 (6-9)",1
"1998.01",1,62,"J4e","Daishi","1-0 (6-9)",1,"yorikiri",60,"J3w","Toyonoumi","0-1 (5-10)",0
"1998.01",1,40,"J3e","Kaiho","0-1 (9-6)",0,"okuritaoshi",50,"J2w","Tokitsuumi","1-0 (4-11)",1
"1998.01",1,50,"J2w","Tokitsuumi","1-0 (4-11)",1,"okuritaoshi",40,"J3e","Kaiho","0-1 (9-6)",0
"1998.01",1,49,"J1w","Misugisato","0-1 (7-8)",0,"oshidashi",59,"J2e","Susanoumi","1-0 (5-10)",1
"1998.01",1,59,"J2e","Susanoumi","1-0 (5-10)",1,"oshidashi",49,"J1w","Misugisato","0-1 (7-8)",0
"1998.01",1,22,"M16e","Gojoro","1-0 (9-6)",1,"tsukiotoshi",53,"J1e","Tokitsunada","0-1 (6-9)",0
"1998.01",1,53,"J1e","Tokitsunada","0-1 (6-9)",0,"tsukiotoshi",22,"M16e","Gojoro","1-0 (9-6)",1
"1998.01",1,36,"M15e","Asanosho","0-1 (9-6)",0,"uwatenage",41,"M15w","Kyokutenho","1-0 (9-6)",1
"1998.01",1,41,"M15w","Kyokutenho","1-0 (9-6)",1,"uwatenage",36,"M15e","Asanosho","0-1 (9-6)",0
"1998.01",1,42,"M14w","Mainoumi","0-1 (9-6)",0,"hatakikomi",57,"M14e","Yamato","1-0 (7-8)",1
"1998.01",1,57,"M14e","Yamato","1-0 (7-8)",1,"hatakikomi",42,"M14w","Mainoumi","0-1 (9-6)",0
"1998.01",1,27,"M13e","Wakanojo","1-0 (9-6)",1,"okuridashi",33,"M13w","Terao","0-1 (9-6)",0
"1998.01",1,33,"M13w","Terao","0-1 (9-6)",0,"okuridashi",27,"M13e","Wakanojo","1-0 (9-6)",1
"1998.01",1,23,"M12w","Tochinowaka","1-0 (9-6)",1,"uwatenage",37,"M11w","Kotoinazuma","0-1 (8-7)",0
