"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2001.01",1,70,"J13w","Kitazakura","1-0 (10-5)",1,"oshidashi",163,"Ms1e","Senshuyama","0-1 (4-3)",0
"2001.01",1,163,"Ms1e","Senshuyama","0-1 (4-3)",0,"oshidashi",70,"J13w","Kitazakura","1-0 (10-5)",1
"2001.01",1,167,"J12w","Tamanokuni","1-0 (8-7)",1,"okuritaoshi",785,"J13e","Komidori","0-1 (3-12)",0
"2001.01",1,785,"J13e","Komidori","0-1 (3-12)",0,"okuritaoshi",167,"J12w","Tamanokuni","1-0 (8-7)",1
"2001.01",1,74,"J11w","Kotokanyu","0-1 (7-8)",0,"tsukiotoshi",251,"J12e","Wakatoryu","1-0 (8-7)",1
"2001.01",1,251,"J12e","Wakatoryu","1-0 (8-7)",1,"tsukiotoshi",74,"J11w","Kotokanyu","0-1 (7-8)",0
"2001.01",1,11,"J10w","Aogiyama","1-0 (10-5)",1,"hatakikomi",84,"J11e","Tomikaze","0-1 (3-12)",0
"2001.01",1,84,"J11e","Tomikaze","0-1 (3-12)",0,"hatakikomi",11,"J10w","Aogiyama","1-0 (10-5)",1
"2001.01",1,52,"J9e","Tomonohana","0-1 (7-8)",0,"yorikiri",874,"J10e","Hamanishiki","1-0 (10-5)",1
"2001.01",1,874,"J10e","Hamanishiki","1-0 (10-5)",1,"yorikiri",52,"J9e","Tomonohana","0-1 (7-8)",0
"2001.01",1,99,"J8e","Komahikari","0-1 (7-8)",0,"tottari",116,"J8w","Wakatsutomu","1-0 (9-6)",1
"2001.01",1,116,"J8w","Wakatsutomu","1-0 (9-6)",1,"tottari",99,"J8e","Komahikari","0-1 (7-8)",0
"2001.01",1,58,"J7e","Oikari","0-1 (5-8-2)",0,"hikiotoshi",78,"J7w","Toyozakura","1-0 (5-10)",1
"2001.01",1,78,"J7w","Toyozakura","1-0 (5-10)",1,"hikiotoshi",58,"J7e","Oikari","0-1 (5-8-2)",0
"2001.01",1,89,"J6e","Aminishiki","1-0 (9-6)",1,"kirikaeshi",199,"J6w","Kuniazuma","0-1 (7-8)",0
"2001.01",1,199,"J6w","Kuniazuma","0-1 (7-8)",0,"kirikaeshi",89,"J6e","Aminishiki","1-0 (9-6)",1
"2001.01",1,20,"J5w","Shikishima","0-1 (0-2-13)",0,"oshidashi",64,"J5e","Yotsukasa","1-0 (7-8)",1
"2001.01",1,64,"J5e","Yotsukasa","1-0 (7-8)",1,"oshidashi",20,"J5w","Shikishima","0-1 (0-2-13)",0
"2001.01",1,145,"J4w","Kobo","0-1 (5-10)",0,"yorikiri",149,"J4e","Juzan","1-0 (6-9)",1
"2001.01",1,149,"J4e","Juzan","1-0 (6-9)",1,"yorikiri",145,"J4w","Kobo","0-1 (5-10)",0
"2001.01",1,63,"J3w","Otsukasa","0-1 (10-5)",0,"oshitaoshi",96,"J3e","Jumonji","1-0 (8-7)",1
"2001.01",1,96,"J3e","Jumonji","1-0 (8-7)",1,"oshitaoshi",63,"J3w","Otsukasa","0-1 (10-5)",0
"2001.01",1,33,"J2w","Terao","0-1 (8-7)",0,"oshidashi",51,"J1w","Daizen","1-0 (6-9)",1
"2001.01",1,51,"J1w","Daizen","1-0 (6-9)",1,"oshidashi",33,"J2w","Terao","0-1 (8-7)",0
"2001.01",1,81,"M14w","Wakakosho","0-1 (6-9)",0,"tsukiotoshi",152,"J1e","Tamanonada","1-0 (12-3)",1
"2001.01",1,152,"J1e","Tamanonada","1-0 (12-3)",1,"tsukiotoshi",81,"M14w","Wakakosho","0-1 (6-9)",0
"2001.01",1,34,"M14e","Asanowaka","1-0 (8-7)",1,"hikiotoshi",88,"M13w","Tamarikido","0-1 (6-9)",0
"2001.01",1,88,"M13w","Tamarikido","0-1 (6-9)",0,"hikiotoshi",34,"M14e","Asanowaka","1-0 (8-7)",1
"2001.01",1,62,"M13e","Daishi","0-1 (7-8)",0,"yorikiri",878,"M12w","Asashoryu","1-0 (9-6)",1
"2001.01",1,878,"M12w","Asashoryu","1-0 (9-6)",1,"yorikiri",62,"M13e","Daishi","0-1 (7-8)",0
"2001.01",1,18,"M12e","Takatoriki","0-1 (8-7)",0,"yorikiri",43,"M11e","Kinkaiyama","1-0 (6-9)",1
"2001.01",1,43,"M11e","Kinkaiyama","1-0 (6-9)",1,"yorikiri",18,"M12e","Takatoriki","0-1 (8-7)",0
"2001.01",1,15,"M10w","Oginishiki","0-1 (0-2-13)",0,"oshitaoshi",16,"M11w","Minatofuji","1-0 (6-9)",1
"2001.01",1,16,"M11w","Minatofuji","1-0 (6-9)",1,"oshitaoshi",15,"M10w","Oginishiki","0-1 (0-2-13)",0
"2001.01",1,35,"M10e","Kyokushuzan","0-1 (8-7)",0,"shitatenage",50,"M9w","Tokitsuumi","1-0 (8-7)",1
"2001.01",1,50,"M9w","Tokitsuumi","1-0 (8-7)",1,"shitatenage",35,"M10e","Kyokushuzan","0-1 (8-7)",0
"2001.01",1,25,"M9e","Hamanoshima","0-1 (6-9)",0,"kotenage",41,"M8e","Kyokutenho","1-0 (10-5)",1
"2001.01",1,41,"M8e","Kyokutenho","1-0 (10-5)",1,"kotenage",25,"M9e","Hamanoshima","0-1 (6-9)",0
"2001.01",1,26,"M7e","Higonoumi","0-1 (7-8)",0,"yorikiri",29,"M7w","Kotoryu","1-0 (9-6)",1
"2001.01",1,29,"M7w","Kotoryu","1-0 (9-6)",1,"yorikiri",26,"M7e","Higonoumi","0-1 (7-8)",0
"2001.01",1,47,"M6w","Chiyotenzan","1-0 (8-7)",1,"hatakikomi",97,"M6e","Tochinohana","0-1 (4-11)",0
"2001.01",1,97,"M6e","Tochinohana","0-1 (4-11)",0,"hatakikomi",47,"M6w","Chiyotenzan","1-0 (8-7)",1
"2001.01",1,13,"M5e","Tosanoumi","0-1 (6-9)",0,"hatakikomi",17,"M5w","Tamakasuga","1-0 (7-8)",1
"2001.01",1,17,"M5w","Tamakasuga","1-0 (7-8)",1,"hatakikomi",13,"M5e","Tosanoumi","0-1 (6-9)",0
"2001.01",1,9,"M4e","Akinoshima","1-0 (7-8)",1,"susoharai",19,"M4w","Tochiazuma","0-1 (10-5)",0
"2001.01",1,19,"M4w","Tochiazuma","0-1 (10-5)",0,"susoharai",9,"M4e","Akinoshima","1-0 (7-8)",1
"2001.01",1,40,"M3w","Kaiho","0-1 (4-11)",0,"oshidashi",87,"M3e","Wakanoyama","1-0 (9-6)",1
"2001.01",1,87,"M3e","Wakanoyama","1-0 (9-6)",1,"oshidashi",40,"M3w","Kaiho","0-1 (4-11)",0
"2001.01",1,6,"O3w","Musoyama","1-0 (9-6)",1,"uwatenage",14,"M2e","Kotonowaka","0-1 (5-10)",0
"2001.01",1,14,"M2e","Kotonowaka","0-1 (5-10)",0,"uwatenage",6,"O3w","Musoyama","1-0 (9-6)",1
"2001.01",1,72,"M1w","Tochisakae","0-1 (4-11)",0,"hikiotoshi",842,"O2w","Miyabiyama","1-0 (8-7)",1
"2001.01",1,842,"O2w","Miyabiyama","1-0 (8-7)",1,"hikiotoshi",72,"M1w","Tochisakae","0-1 (4-11)",0
"2001.01",1,5,"M1e","Takanonami","1-0 (6-9)",1,"oshidashi",31,"O2e","Dejima","0-1 (7-8)",0
"2001.01",1,31,"O2e","Dejima","0-1 (7-8)",0,"oshidashi",5,"M1e","Takanonami","1-0 (6-9)",1
"2001.01",1,8,"O1w","Chiyotaikai","1-0 (2-2-11)",1,"oshidashi",876,"S1w","Kotomitsuki","0-1 (4-11)",0
"2001.01",1,876,"S1w","Kotomitsuki","0-1 (4-11)",0,"oshidashi",8,"O1w","Chiyotaikai","1-0 (2-2-11)",1
"2001.01",1,7,"O1e","Kaio","0-1 (10-5)",0,"shitatenage",39,"S1e","Wakanosato","1-0 (10-5)",1
"2001.01",1,39,"S1e","Wakanosato","1-0 (10-5)",1,"shitatenage",7,"O1e","Kaio","0-1 (10-5)",0
"2001.01",1,2,"Y2e","Takanohana","1-0 (14-1)",1,"uwatenage",10,"K1w","Tochinonada","0-1 (9-6)",0
"2001.01",1,10,"K1w","Tochinonada","0-1 (9-6)",0,"uwatenage",2,"Y2e","Takanohana","1-0 (14-1)",1
"2001.01",1,4,"Y1w","Musashimaru","1-0 (14-1)",1,"yorikiri",71,"K1e","Takanowaka","0-1 (4-11)",0
"2001.01",1,71,"K1e","Takanowaka","0-1 (4-11)",0,"yorikiri",4,"Y1w","Musashimaru","1-0 (14-1)",1
"2001.01",2,92,"Ms1w","Harunoyama","2-0 (7-0)",1,"kotenage",785,"J13e","Komidori","0-2 (3-12)",0
"2001.01",2,785,"J13e","Komidori","0-2 (3-12)",0,"kotenage",92,"Ms1w","Harunoyama","2-0 (7-0)",1
"2001.01",2,84,"J11e","Tomikaze","1-1 (3-12)",1,"yorikiri",167,"J12w","Tamanokuni","1-1 (8-7)",0
"2001.01",2,167,"J12w","Tamanokuni","1-1 (8-7)",0,"yorikiri",84,"J11e","Tomikaze","1-1 (3-12)",1
"2001.01",2,70,"J13w","Kitazakura","2-0 (10-5)",1,"yoritaoshi",74,"J11w","Kotokanyu","0-2 (7-8)",0
"2001.01",2,74,"J11w","Kotokanyu","0-2 (7-8)",0,"yoritaoshi",70,"J13w","Kitazakura","2-0 (10-5)",1
"2001.01",2,251,"J12e","Wakatoryu","1-1 (8-7)",0,"oshidashi",874,"J10e","Hamanishiki","2-0 (10-5)",1
"2001.01",2,874,"J10e","Hamanishiki","2-0 (10-5)",1,"oshidashi",251,"J12e","Wakatoryu","1-1 (8-7)",0
"2001.01",2,11,"J10w","Aogiyama","2-0 (10-5)",1,"tsukidashi",99,"J8e","Komahikari","0-2 (7-8)",0
"2001.01",2,99,"J8e","Komahikari","0-2 (7-8)",0,"tsukidashi",11,"J10w","Aogiyama","2-0 (10-5)",1
"2001.01",2,52,"J9e","Tomonohana","0-2 (7-8)",0,"hatakikomi",78,"J7w","Toyozakura","2-0 (5-10)",1
"2001.01",2,78,"J7w","Toyozakura","2-0 (5-10)",1,"hatakikomi",52,"J9e","Tomonohana","0-2 (7-8)",0
"2001.01",2,89,"J6e","Aminishiki","1-1 (9-6)",0,"oshidashi",116,"J8w","Wakatsutomu","2-0 (9-6)",1
"2001.01",2,116,"J8w","Wakatsutomu","2-0 (9-6)",1,"oshidashi",89,"J6e","Aminishiki","1-1 (9-6)",0
"2001.01",2,20,"J5w","Shikishima","0-2 (0-2-13)",0,"fusen",58,"J7e","Oikari","1-1 (5-8-2)",1
"2001.01",2,58,"J7e","Oikari","1-1 (5-8-2)",1,"fusen",20,"J5w","Shikishima","0-2 (0-2-13)",0
"2001.01",2,145,"J4w","Kobo","0-2 (5-10)",0,"kotenage",199,"J6w","Kuniazuma","1-1 (7-8)",1
"2001.01",2,199,"J6w","Kuniazuma","1-1 (7-8)",1,"kotenage",145,"J4w","Kobo","0-2 (5-10)",0
"2001.01",2,64,"J5e","Yotsukasa","1-1 (7-8)",0,"hatakikomi",96,"J3e","Jumonji","2-0 (8-7)",1
"2001.01",2,96,"J3e","Jumonji","2-0 (8-7)",1,"hatakikomi",64,"J5e","Yotsukasa","1-1 (7-8)",0
"2001.01",2,33,"J2w","Terao","1-1 (8-7)",1,"hikkake",149,"J4e","Juzan","1-1 (6-9)",0
